miRNA,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
miR-424-3p,0.001286593216,31,3176,1.99016241,GO:0043229 intracellular organelle,http://amigo.geneontology.org/amigo/term/GO:0043229,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 CCG005153.1 CCG006243.1 RP20_CCG007304.2 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 CCG011128.1 CCG011270.1 CCG013028.1 RP20_CCG013111 CCG013237.1 RP20_CCG013501 CCG013807.1 RP20_CCG013836.3 CCG014048.1 CCG014290.1 RP20_CCG014760 CCG015582.1 RP20_CCG015599 RP20_CCG016099 CCG017793.1 RP20_CCG019397 CCG020651.1 RP20_CCG021891 CCG022521.1 CCG023599.1 CCG027460.1 CCG028558.1,GO Cellular Component
miR-424-3p,0.001312656449,31,3209,1.969696421,GO:0043226 organelle,http://amigo.geneontology.org/amigo/term/GO:0043226,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 CCG005153.1 CCG006243.1 RP20_CCG007304.2 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 CCG011128.1 CCG011270.1 CCG013028.1 RP20_CCG013111 CCG013237.1 RP20_CCG013501 CCG013807.1 RP20_CCG013836.3 CCG014048.1 CCG014290.1 RP20_CCG014760 CCG015582.1 RP20_CCG015599 RP20_CCG016099 CCG017793.1 RP20_CCG019397 CCG020651.1 RP20_CCG021891 CCG022521.1 CCG023599.1 CCG027460.1 CCG028558.1,GO Cellular Component
miR-424-3p,0.001859343378,2,4,101.9476744,GO:0004749 ribose phosphate diphosphokinase activity,http://amigo.geneontology.org/amigo/term/GO:0004749,RP20_CCG006419 CCG007533.1,GO Molecular Function
miR-424-3p,0.00262566265,2,5,81.55813953,GO:0003997 acyl-CoA oxidase activity,http://amigo.geneontology.org/amigo/term/GO:0003997,RP20_CCG008617.2 RP20_CCG013836.3,GO Molecular Function
miR-424-3p,0.0003737873825,4,35,23.30232558,GO:0003678 DNA helicase activity,http://amigo.geneontology.org/amigo/term/GO:0003678,RP20_CCG008498 CCG008622.1 RP20_CCG015599 CCG020651.1,GO Molecular Function
miR-424-3p,0.001883387732,9,401,4.576204837,GO:0140657 ATP-dependent activity,http://amigo.geneontology.org/amigo/term/GO:0140657,RP20_CCG001881 RP20_CCG008334 RP20_CCG008498 CCG008622.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 CCG020651.1,GO Molecular Function
miR-424-3p,0.002224178691,9,413,4.443240047,GO:0016301 kinase activity,http://amigo.geneontology.org/amigo/term/GO:0016301,RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334 CCG025015.2 CCG027634.1,GO Molecular Function
miR-424-3p,1.06E-06,19,887,4.367544113,GO:0005524 ATP binding,http://amigo.geneontology.org/amigo/term/GO:0005524,RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,1.06E-06,19,895,4.328504612,GO:0032559 adenyl ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032559,RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,1.06E-06,19,898,4.314044129,GO:0030554 adenyl nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0030554,RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,22,1087,4.126676793,GO:0035639 purine ribonucleoside triphosphate binding,http://amigo.geneontology.org/amigo/term/GO:0035639,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,22,1095,4.096527557,GO:0032555 purine ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032555,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,22,1098,4.085334858,GO:0017076 purine nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0017076,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.17E-07,22,1107,4.052120754,GO:0032553 ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032553,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,2.78E-07,25,1281,3.979222265,GO:0043168 anion binding,http://amigo.geneontology.org/amigo/term/GO:0043168,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 RP20_CCG013836.3 CCG014290.1 CCG015582.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,24,1290,3.793401839,GO:0000166 nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0000166,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 RP20_CCG013836.3 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,24,1290,3.793401839,GO:1901265 nucleoside phosphate binding,http://amigo.geneontology.org/amigo/term/GO:1901265,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 RP20_CCG013836.3 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,3.13E-07,25,1377,3.701803719,GO:0036094 small molecule binding,http://amigo.geneontology.org/amigo/term/GO:0036094,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG012694.1 RP20_CCG013836.3 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,1.65E-06,22,1242,3.611672846,GO:0097367 carbohydrate derivative binding,http://amigo.geneontology.org/amigo/term/GO:0097367,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 CCG008622.1 RP20_CCG008785 RP20_CCG010133 CCG011128.1 CCG014290.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 CCG019098.1 RP20_CCG020334 CCG020651.1 CCG027634.1,GO Molecular Function
miR-424-3p,0.0008807720864,23,1992,2.354213365,GO:0016787 hydrolase activity,http://amigo.geneontology.org/amigo/term/GO:0016787,RP20_CCG002067 RP20_CCG003693 CCG007796.1 CCG007937.2 RP20_CCG008334 RP20_CCG008498 CCG008622.1 RP20_CCG010133 RP20_CCG011302 CCG013028.1 RP20_CCG013219 RP20_CCG014760 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 RP20_CCG019046.2 CCG019098.1 CCG019709.1 CCG020651.1 CCG021925.1 CCG025948.4 CCG026212.1 CCG028062.1,GO Molecular Function
miR-424-3p,1.68E-05,36,3353,2.18915376,GO:0043167 ion binding,http://amigo.geneontology.org/amigo/term/GO:0043167,CCG001726.1 RP20_CCG001881 RP20_CCG004459.2 RP20_CCG005310.2 RP20_CCG006419 RP20_CCG007304.2 CCG007520.1 CCG007533.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG009781 RP20_CCG010133 CCG011128.1 CCG013028.1 RP20_CCG013219 RP20_CCG013836.3 CCG014290.1 RP20_CCG014760 CCG015582.1 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 RP20_CCG017867 CCG019098.1 RP20_CCG019397 RP20_CCG019889 RP20_CCG020334 CCG020651.1 CCG021458.1 CCG026212.1 CCG027634.1 RP20_CCG028366,GO Molecular Function
miR-424-3p,2.16E-05,43,4537,1.932444346,GO:0003824 catalytic activity,http://amigo.geneontology.org/amigo/term/GO:0003824,RP20_CCG000323.2 RP20_CCG002067 CCG002317.1 RP20_CCG003693 CCG004134.1 CCG005153.1 RP20_CCG005310.2 RP20_CCG006419 CCG007520.1 CCG007533.1 CCG007796.1 CCG007937.2 RP20_CCG008334 RP20_CCG008414 RP20_CCG008498 RP20_CCG008617.2 CCG008622.1 RP20_CCG008785 RP20_CCG010133 RP20_CCG011302 CCG012626.1 CCG013028.1 RP20_CCG013219 RP20_CCG013836.3 RP20_CCG014760 RP20_CCG015599 RP20_CCG016099 RP20_CCG016202 RP20_CCG017867 RP20_CCG019046.2 CCG019098.1 CCG019709.1 RP20_CCG019889 RP20_CCG020334 CCG020651.1 CCG021612.1 CCG021925.1 CCG025015.2 CCG025948.4 CCG026212.1 CCG027634.1 CCG028062.1 CCG028417.1,GO Molecular Function
miR-4728-5p,0.00717402817,2,5,92.28947368,GO:0006750 glutathione biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0006750,RP20_CCG002897 CCG013590.1,GO Biological Process
miR-4728-5p,0.00717402817,2,5,92.28947368,GO:0019184 nonribosomal peptide biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0019184,RP20_CCG002897 CCG013590.1,GO Biological Process
miR-4728-5p,0.01563100894,2,8,57.68092105,GO:0043631 RNA polyadenylation,http://amigo.geneontology.org/amigo/term/GO:0043631,RP20_CCG001576 CCG027115.1,GO Biological Process
miR-4728-5p,0.01576782883,2,9,51.27192982,GO:0000079 reg. of cyclin-dependent protein serine/threonine kinase activity,http://amigo.geneontology.org/amigo/term/GO:0000079,CCG011691.1 CCG022476.1,GO Biological Process
miR-4728-5p,0.01576782883,2,10,46.14473684,GO:0006826 iron ion transport,http://amigo.geneontology.org/amigo/term/GO:0006826,RP20_CCG011742 RP20_CCG011744,GO Biological Process
miR-4728-5p,0.00717402817,3,26,26.62196356,GO:0055076 transition metal ion homeostasis,http://amigo.geneontology.org/amigo/term/GO:0055076,RP20_CCG011742 RP20_CCG011744 CCG016162.1,GO Biological Process
miR-4728-5p,0.003015470755,4,38,24.2867036,GO:0055065 metal ion homeostasis,http://amigo.geneontology.org/amigo/term/GO:0055065,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.003015470755,4,43,21.4626683,GO:0050801 ion homeostasis,http://amigo.geneontology.org/amigo/term/GO:0050801,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.003015470755,4,43,21.4626683,GO:0055080 cation homeostasis,http://amigo.geneontology.org/amigo/term/GO:0055080,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.003015470755,4,43,21.4626683,GO:0098771 inorganic ion homeostasis,http://amigo.geneontology.org/amigo/term/GO:0098771,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.003158661164,4,46,20.06292906,GO:0048878 chemical homeostasis,http://amigo.geneontology.org/amigo/term/GO:0048878,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.01563100894,3,37,18.70732575,GO:0044272 sulfur compound biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0044272,RP20_CCG002897 CCG013590.1 RP20_CCG015567,GO Biological Process
miR-4728-5p,0.01576782883,4,97,9.51437873,GO:0042592 homeostatic proc.,http://amigo.geneontology.org/amigo/term/GO:0042592,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1,GO Biological Process
miR-4728-5p,0.01931979718,5,181,6.373582437,GO:0065008 reg. of biological quality,http://amigo.geneontology.org/amigo/term/GO:0065008,RP20_CCG011742 RP20_CCG011744 CCG016161.1 CCG016162.1 CCG016238.1,GO Biological Process
miR-4728-5p,0.01576782883,6,250,5.537368421,GO:0006468 protein phosphorylation,http://amigo.geneontology.org/amigo/term/GO:0006468,CCG007520.1 RP20_CCG008785 CCG011691.1 CCG015473.1 RP20_CCG020334 CCG022476.1,GO Biological Process
miR-4728-5p,0.005478754651,31,3743,1.910882771,GO:0044237 cellular metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044237,RP20_CCG001034 RP20_CCG001576 RP20_CCG002897 CCG003410.1 CCG007520.1 CCG008130.1 RP20_CCG008498 RP20_CCG008785 CCG011691.1 RP20_CCG012249 CCG012626.1 CCG013590.1 RP20_CCG013836.3 CCG014222.1 RP20_CCG014779 CCG015473.1 RP20_CCG015567 CCG016238.1 CCG017793.1 RP20_CCG020334 RP20_CCG020703 RP20_CCG021891 CCG021925.1 RP20_CCG022468.2 CCG022476.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG023543 CCG025494.1 RP20_CCG026317 CCG027115.1,GO Biological Process
miR-4728-5p,0.01563100894,32,4298,1.717812446,GO:0044238 primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044238,RP20_CCG001034 RP20_CCG001576 CCG003410.1 CCG004741.1 CCG007520.1 CCG008130.1 RP20_CCG008498 RP20_CCG008785 CCG011691.1 RP20_CCG012249 CCG012626.1 RP20_CCG013836.3 CCG014222.1 RP20_CCG014779 CCG015473.1 RP20_CCG015567 CCG016238.1 CCG017793.1 RP20_CCG019046.2 RP20_CCG020334 RP20_CCG020703 RP20_CCG021891 CCG021925.1 RP20_CCG022468.2 CCG022476.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG023543 CCG025494.1 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Biological Process
miR-4728-5p,0.01576782883,34,4769,1.64491618,GO:0008152 metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0008152,RP20_CCG001034 RP20_CCG001576 RP20_CCG002897 CCG003410.1 CCG004741.1 CCG007520.1 CCG008130.1 RP20_CCG008498 RP20_CCG008785 CCG011691.1 RP20_CCG012249 CCG012626.1 CCG013590.1 RP20_CCG013836.3 CCG014222.1 RP20_CCG014779 CCG015473.1 RP20_CCG015567 CCG016238.1 CCG017793.1 RP20_CCG019046.2 RP20_CCG020334 RP20_CCG020703 RP20_CCG021891 CCG021925.1 RP20_CCG022468.2 CCG022476.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG023543 CCG025494.1 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Biological Process
miR-4728-5p,0.03339318537,2,26,17.74797571,GO:0030135 coated vesicle,http://amigo.geneontology.org/amigo/term/GO:0030135,CCG012416.1 CCG015582.1,GO Cellular Component
miR-4728-5p,0.00523186809,4,82,11.25481386,GO:0032993 protein-DNA complex,http://amigo.geneontology.org/amigo/term/GO:0032993,CCG003410.1 RP20_CCG008646 CCG019284.1 RP20_CCG022150,GO Cellular Component
miR-4728-5p,0.0303217989,3,75,9.228947368,GO:0000139 Golgi membrane,http://amigo.geneontology.org/amigo/term/GO:0000139,CCG004741.1 CCG012416.1 CCG022521.1,GO Cellular Component
miR-4728-5p,0.0303217989,3,76,9.10751385,GO:0000786 nucleosome,http://amigo.geneontology.org/amigo/term/GO:0000786,RP20_CCG008646 CCG019284.1 RP20_CCG022150,GO Cellular Component
miR-4728-5p,0.04124541326,3,92,7.523598398,GO:0044815 DNA packaging complex,http://amigo.geneontology.org/amigo/term/GO:0044815,RP20_CCG008646 CCG019284.1 RP20_CCG022150,GO Cellular Component
miR-4728-5p,0.01357178349,5,192,6.008429276,GO:0005694 chromosome,http://amigo.geneontology.org/amigo/term/GO:0005694,CCG003410.1 RP20_CCG008646 CCG019284.1 RP20_CCG022150 RP20_CCG022918,GO Cellular Component
miR-4728-5p,0.0328591333,4,160,5.768092105,GO:0005794 Golgi apparatus,http://amigo.geneontology.org/amigo/term/GO:0005794,CCG004741.1 CCG012416.1 CCG015582.1 CCG022521.1,GO Cellular Component
miR-4728-5p,0.001562681074,19,1599,2.741557223,GO:0005737 cytoplasm,http://amigo.geneontology.org/amigo/term/GO:0005737,RP20_CCG001576 CCG002937.1 CCG004132.1 RP20_CCG004459.2 CCG004741.1 RP20_CCG012249 CCG012416.1 RP20_CCG013836.3 RP20_CCG015567 CCG015582.1 CCG017793.1 RP20_CCG019046.2 RP20_CCG021835 CCG021925.1 CCG022521.1 RP20_CCG023350 RP20_CCG023543 CCG025948.4 RP20_CCG027168,GO Cellular Component
miR-4728-5p,0.01357178349,13,1170,2.563596491,GO:0032991 protein-containing complex,http://amigo.geneontology.org/amigo/term/GO:0032991,RP20_CCG001576 CCG002937.1 CCG003410.1 RP20_CCG004459.2 RP20_CCG008646 CCG012416.1 CCG017793.1 CCG019284.1 CCG021925.1 RP20_CCG022150 RP20_CCG022468.2 RP20_CCG023543 RP20_CCG026317,GO Cellular Component
miR-4728-5p,4.86E-05,35,3623,2.228906693,GO:0005622 intracellular anatomical structure,http://amigo.geneontology.org/amigo/term/GO:0005622,RP20_CCG001034 RP20_CCG001576 CCG002937.1 CCG003410.1 CCG004132.1 RP20_CCG004459.2 CCG004741.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 CCG011691.1 RP20_CCG012249 CCG012416.1 CCG012454.1 RP20_CCG013836.3 RP20_CCG015567 CCG015582.1 CCG017793.1 RP20_CCG019046.2 CCG019284.1 RP20_CCG020703 RP20_CCG021835 RP20_CCG021891 CCG021925.1 RP20_CCG022150 RP20_CCG022468.2 CCG022476.1 CCG022521.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG023543 CCG025948.4 RP20_CCG026317 CCG027115.1 RP20_CCG027168,GO Cellular Component
miR-4728-5p,0.004380801091,24,2632,2.103863382,GO:0043231 intracellular membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043231,RP20_CCG001034 RP20_CCG001576 CCG003410.1 CCG004741.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 RP20_CCG012249 CCG012416.1 CCG012454.1 RP20_CCG013836.3 CCG015582.1 CCG017793.1 CCG019284.1 RP20_CCG020703 RP20_CCG021835 RP20_CCG021891 RP20_CCG022150 RP20_CCG022468.2 CCG022521.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG026317 CCG027115.1,GO Cellular Component
miR-4728-5p,0.0303217989,16,1795,2.056589943,GO:0005634 nucleus,http://amigo.geneontology.org/amigo/term/GO:0005634,RP20_CCG001034 RP20_CCG001576 CCG003410.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 CCG012454.1 CCG017793.1 CCG019284.1 RP20_CCG020703 RP20_CCG021891 RP20_CCG022150 RP20_CCG022468.2 RP20_CCG022918 RP20_CCG026317 CCG027115.1,GO Cellular Component
miR-4728-5p,0.004380801091,24,2707,2.045573853,GO:0043227 membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043227,RP20_CCG001034 RP20_CCG001576 CCG003410.1 CCG004741.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 RP20_CCG012249 CCG012416.1 CCG012454.1 RP20_CCG013836.3 CCG015582.1 CCG017793.1 CCG019284.1 RP20_CCG020703 RP20_CCG021835 RP20_CCG021891 RP20_CCG022150 RP20_CCG022468.2 CCG022521.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG026317 CCG027115.1,GO Cellular Component
miR-4728-5p,0.004380801091,27,3176,1.9614419,GO:0043229 intracellular organelle,http://amigo.geneontology.org/amigo/term/GO:0043229,RP20_CCG001034 RP20_CCG001576 CCG003410.1 RP20_CCG004459.2 CCG004741.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 CCG011691.1 RP20_CCG012249 CCG012416.1 CCG012454.1 RP20_CCG013836.3 CCG015582.1 CCG017793.1 CCG019284.1 RP20_CCG020703 RP20_CCG021835 RP20_CCG021891 RP20_CCG022150 RP20_CCG022468.2 CCG022476.1 CCG022521.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG026317 CCG027115.1,GO Cellular Component
miR-4728-5p,0.004380801091,27,3209,1.94127126,GO:0043226 organelle,http://amigo.geneontology.org/amigo/term/GO:0043226,RP20_CCG001034 RP20_CCG001576 CCG003410.1 RP20_CCG004459.2 CCG004741.1 RP20_CCG008498 RP20_CCG008646 CCG011270.1 CCG011691.1 RP20_CCG012249 CCG012416.1 CCG012454.1 RP20_CCG013836.3 CCG015582.1 CCG017793.1 CCG019284.1 RP20_CCG020703 RP20_CCG021835 RP20_CCG021891 RP20_CCG022150 RP20_CCG022468.2 CCG022476.1 CCG022521.1 RP20_CCG022918 RP20_CCG023350 RP20_CCG026317 CCG027115.1,GO Cellular Component
miR-4728-5p,0.002386779181,2,3,153.8157895,GO:0003994 aconitate hydratase activity,http://amigo.geneontology.org/amigo/term/GO:0003994,RP20_CCG012249 RP20_CCG023350,GO Molecular Function
miR-4728-5p,0.002386779181,2,3,153.8157895,GO:0047780 citrate dehydratase activity,http://amigo.geneontology.org/amigo/term/GO:0047780,RP20_CCG012249 RP20_CCG023350,GO Molecular Function
miR-4728-5p,0.006049360191,2,6,76.90789474,GO:0016881 acid-amino acid ligase activity,http://amigo.geneontology.org/amigo/term/GO:0016881,RP20_CCG002897 CCG013590.1,GO Molecular Function
miR-4728-5p,0.009597629709,2,8,57.68092105,GO:0042803 protein homodimerization activity,http://amigo.geneontology.org/amigo/term/GO:0042803,RP20_CCG002897 CCG013590.1,GO Molecular Function
miR-4728-5p,0.009597629709,2,9,51.27192982,GO:0019900 kinase binding,http://amigo.geneontology.org/amigo/term/GO:0019900,CCG011691.1 CCG022476.1,GO Molecular Function
miR-4728-5p,0.009597629709,2,9,51.27192982,GO:0019901 protein kinase binding,http://amigo.geneontology.org/amigo/term/GO:0019901,CCG011691.1 CCG022476.1,GO Molecular Function
miR-4728-5p,0.002386779181,3,18,38.45394737,GO:0017018 myosin phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0017018,CCG008319.2 RP20_CCG020920 CCG022055.1,GO Molecular Function
miR-4728-5p,0.009970234575,2,12,38.45394737,GO:0004322 ferroxidase activity,http://amigo.geneontology.org/amigo/term/GO:0004322,RP20_CCG011742 RP20_CCG011744,GO Molecular Function
miR-4728-5p,0.009970234575,2,12,38.45394737,GO:0016722 oxidoreductase activity acting on metal ions,http://amigo.geneontology.org/amigo/term/GO:0016722,RP20_CCG011742 RP20_CCG011744,GO Molecular Function
miR-4728-5p,0.009970234575,2,12,38.45394737,GO:0042802 identical protein binding,http://amigo.geneontology.org/amigo/term/GO:0042802,RP20_CCG002897 CCG013590.1,GO Molecular Function
miR-4728-5p,0.009970234575,2,12,38.45394737,GO:0072341 modified amino acid binding,http://amigo.geneontology.org/amigo/term/GO:0072341,RP20_CCG002897 CCG013590.1,GO Molecular Function
miR-4728-5p,0.005554086325,3,26,26.62196356,GO:0004722 protein serine/threonine phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0004722,CCG008319.2 RP20_CCG020920 CCG022055.1,GO Molecular Function
miR-4728-5p,0.009597629709,3,39,17.74797571,GO:0016836 hydro-lyase activity,http://amigo.geneontology.org/amigo/term/GO:0016836,RP20_CCG012249 RP20_CCG015567 RP20_CCG023350,GO Molecular Function
miR-4728-5p,0.009970234575,3,41,16.8822208,GO:0016835 carbon-oxygen lyase activity,http://amigo.geneontology.org/amigo/term/GO:0016835,RP20_CCG012249 RP20_CCG015567 RP20_CCG023350,GO Molecular Function
miR-4728-5p,0.002386779181,6,160,8.652138158,GO:0046983 protein dimerization activity,http://amigo.geneontology.org/amigo/term/GO:0046983,RP20_CCG002897 RP20_CCG008646 CCG013590.1 CCG017793.1 CCG019284.1 RP20_CCG022150,GO Molecular Function
miR-4728-5p,0.0007422601166,24,2082,2.659639011,GO:0005515 protein binding,http://amigo.geneontology.org/amigo/term/GO:0005515,RP20_CCG001034 CCG001505.1 RP20_CCG002897 CCG004132.1 RP20_CCG004459.2 RP20_CCG006879 CCG007886.1 RP20_CCG008646 CCG011270.1 CCG011691.1 CCG013590.1 CCG016282.1 CCG017793.1 CCG017917.1 CCG019284.1 CCG019604.1 RP20_CCG020977 CCG021458.1 RP20_CCG021891 RP20_CCG022150 CCG022476.1 CCG022521.1 RP20_CCG026317 RP20_CCG028366,GO Molecular Function
miR-4728-5p,0.009970234575,14,1281,2.521570319,GO:0043168 anion binding,http://amigo.geneontology.org/amigo/term/GO:0043168,RP20_CCG002897 RP20_CCG003697 RP20_CCG004459.2 CCG007520.1 RP20_CCG008498 RP20_CCG008785 CCG013590.1 RP20_CCG013836.3 CCG015473.1 CCG015582.1 CCG016238.1 RP20_CCG020334 RP20_CCG021835 CCG027115.1,GO Molecular Function
