Gene stable ID,Transcript stable ID,Gene name,UniProtKB/TrEMBL ID,UniParc ID
AAEL006808,AAEL006808-RA,,Q174U0,UPI0000DA9E01
AAEL006808,AAEL006808-RB,,Q174U0,UPI0000DA9E01
AAEL021070,AAEL021070-RB,,,UPI000B786DEC
AAEL021070,AAEL021070-RA,,Q16TP9,UPI000B792598
AAEL009810,AAEL009810-RB,,Q1HQJ6,UPI0000D76F53
AAEL009810,AAEL009810-RA,,Q1HQJ6,UPI0000D76F53
AAEL010166,AAEL010166-RB,,Q16TN1,UPI000B772236
AAEL010166,AAEL010166-RB,,A0A1S4FPW5,UPI000B772236
AAEL020985,AAEL020985-RA,,Q16N56,UPI0000000586
AAEL008857,AAEL008857-RB,,Q16XJ3,UPI000B7917DB
AAEL001989,AAEL001989-RA,,Q17JK4,UPI0000DA8C89
AAEL001989,AAEL001989-RA,,Q17JI0,UPI0000DA8C89
AAEL010182,AAEL010182-RB,,A0A1S4FPH4,UPI000B7948F1
AAEL010182,AAEL010182-RB,,Q16TP7,UPI000B7948F1
AAEL025591,AAEL025591-RB,,,UPI000B789CBB
AAEL025591,AAEL025591-RA,,A0A0P6ISR5,UPI000B789CBB
AAEL011513,AAEL011513-RA,,A0A1S4FTS9,UPI000B789ED3
AAEL011513,AAEL011513-RA,,Q16PV8,UPI000B789ED3
AAEL010640,AAEL010640-RA,,Q16SB2,UPI0000DAAC94
AAEL010775,AAEL010775-RA,,A0A1S4FRK9,UPI00043B9E71
AAEL010775,AAEL010775-RA,,Q16RZ3,UPI00043B9E71
AAEL002098,AAEL002098-RA,,A0A1S4F0Q2,UPI00043B994E
AAEL002098,AAEL002098-RA,,A0A0P6IVI5,UPI00043B994E
AAEL002098,AAEL002098-RA,,Q17J54,UPI00043B994E
AAEL023789,AAEL023789-RA,,,UPI000B7957DE
AAEL000504,AAEL000504-RF,,Q17P02,UPI000B780050
AAEL000504,AAEL000504-RE,,,UPI000B780050
AAEL000504,AAEL000504-RD,,,UPI000B780050
AAEL000504,AAEL000504-RC,,,UPI000B780050
AAEL000504,AAEL000504-RB,,,UPI000B780050
AAEL026160,AAEL026160-RB,,Q17HQ5,UPI000B77E167
AAEL026160,AAEL026160-RA,,A0A1S4F276,UPI000B7915F5
AAEL004896,AAEL004896-RB,,Q17BP0,UPI000B784835
AAEL014519,AAEL014519-RE,,Q16G52,UPI000B78D24F
AAEL014519,AAEL014519-RE,,Q16UZ9,UPI000B78D24F
AAEL014519,AAEL014519-RD,,A0A1S4FN71,UPI000B79AC82
AAEL014519,AAEL014519-RC,,,UPI000B79AC82
AAEL014519,AAEL014519-RB,,,UPI000B79AC82
AAEL023801,AAEL023801-RB,,,UPI000B78AA53
AAEL023801,AAEL023801-RA,,,UPI000B78ED6F
AAEL026750,AAEL026750-RA,,Q16JH8,UPI000B785D31
AAEL023016,AAEL023016-RA,,Q17EF1,UPI0000DA869A
AAEL020004,AAEL020004-RA,,Q17FE4,UPI000B77A967
AAEL009961,AAEL009961-RA,,Q16UA4,UPI0000DAAA03
AAEL009961,AAEL009961-RA,,Q16EB0,UPI0000DAAA03
AAEL013042,AAEL013042-RC,,Q16KC9,UPI000B78F0FE
AAEL013042,AAEL013042-RB,,Q17DK9,UPI000B795EA5
AAEL020466,AAEL020466-RA,,,UPI000B76C16B
AAEL009553,AAEL009553-RA,,Q16VI6,UPI0000DAA863
AAEL009553,AAEL009553-RA,,Q1DGS0,UPI0000DAA863
AAEL006249,AAEL006249-RB,,A0A1S4FD04,UPI00043BB60E
AAEL006249,AAEL006249-RB,,Q176V1,UPI00043BB60E
AAEL006249,AAEL006249-RA,,A0A1S4FD04,UPI00043BB60E
AAEL025702,AAEL025702-RA,,Q17EF1,UPI0000DA869A
AAEL020928,AAEL020928-RA,,Q16MW0,UPI000B7778F8
AAEL000708,AAEL000708-RA,,Q17NI6,UPI0000DA8746
AAEL008443,AAEL008443-RB,,Q16YR9,UPI000B77E690
AAEL008958,AAEL008958-RC,,A0A1S4FKW7,UPI000B78FBE4
AAEL008958,AAEL008958-RC,,Q16X93,UPI000B78FBE4
AAEL008958,AAEL008958-RD,,A0A1S4FKW7,UPI000B78FBE4
AAEL008958,AAEL008958-RA,,A0A1S4FKW7,UPI000B78FBE4
AAEL008958,AAEL008958-RB,,A0A1S4FKW7,UPI000B78FBE4
AAEL006816,AAEL006816-RA,,A0A1S4FES7,UPI00043BD300
AAEL024040,AAEL024040-RA,,Q179J9,UPI0000DA9997
AAEL021685,AAEL021685-RA,,,UPI000B77A609
AAEL026610,AAEL026610-RA,,,UPI000B789674
AAEL015472,AAEL015472-RB,,Q1DGU8,UPI000B77AD31
AAEL010844,AAEL010844-RA,,Q16RU3,UPI0000DAAD33
AAEL022132,AAEL022132-RA,,Q16ZD6,UPI000B796176
AAEL022132,AAEL022132-RA,,A0A0P6IWY4,UPI000B796176
AAEL005176,AAEL005176-RB,,Q17AV8,UPI000B7988F2
AAEL004877,AAEL004877-RA,,Q17BS7,UPI0000DA96A6
AAEL000436,AAEL000436-RA,,Q17PC6,UPI0000DA8639
AAEL008714,AAEL008714-RC,,Q16Y01,UPI000B77B398
AAEL008714,AAEL008714-RC,,A0A0P6K0X8,UPI000B77B398
AAEL008714,AAEL008714-RB,,Q16Y01,UPI000B789B62
AAEL006017,AAEL006017-RA,,Q177U1,UPI0000DA9B22
AAEL023121,AAEL023121-RA,,Q16IE4,UPI0000000B5E
AAEL006964,AAEL006964-RA,,Q173Y7,UPI0000DA9EC5
AAEL005256,AAEL005256-RH,,Q17AL2,UPI000B7755C3
AAEL005256,AAEL005256-RH,,Q17AL4,UPI000B7755C3
AAEL005256,AAEL005256-RG,,,UPI000B7755C3
AAEL005256,AAEL005256-RF,,,UPI000B7755C3
AAEL005256,AAEL005256-RE,,,UPI000B7755C3
AAEL005256,AAEL005256-RD,,,UPI000B7755C3
AAEL005256,AAEL005256-RC,,,UPI000B7755C3
AAEL005598,AAEL005598-RA,,A0A1S4FB50,UPI000645391B
AAEL005598,AAEL005598-RA,,Q179K0,UPI000645391B
AAEL003331,AAEL003331-RB,,Q17FN7,UPI0001D4B8EC
AAEL003331,AAEL003331-RA,,Q17FN7,UPI0001D4B8EC
AAEL021133,AAEL021133-RA,,,UPI000B785CF4
AAEL006283,AAEL006283-RF,GPRDMS,,UPI0000DA9C19
AAEL006283,AAEL006283-RB,GPRDMS,A0A1S4FD34,UPI000B789EEE
AAEL006283,AAEL006283-RE,GPRDMS,,UPI0000DA9C19
AAEL006283,AAEL006283-RC,GPRDMS,A0A1S4FD34,UPI000B789EEE
AAEL006283,AAEL006283-RA,GPRDMS,A0A1S4FD34,UPI000B789EEE
AAEL006283,AAEL006283-RA,GPRDMS,Q176T8,UPI000B789EEE
AAEL006283,AAEL006283-RD,GPRDMS,,UPI0000DA9C19
AAEL001896,AAEL001896-RA,,A0A1S4F034,UPI000B775571
AAEL001896,AAEL001896-RA,,Q17JW7,UPI000B775571
AAEL001896,AAEL001896-RB,,A0A1S4F033,UPI000B76BE48
AAEL001896,AAEL001896-RB,,Q17JW6,UPI000B76BE48
AAEL006025,AAEL006025-RA,,A0A1S4FCC1,UPI000B7721E9
AAEL006025,AAEL006025-RA,,Q177T0,UPI000B7721E9
AAEL024681,AAEL024681-RA,,Q17G32,UPI000B794249
AAEL027397,AAEL027397-RB,,A0A1S4FFA0,UPI000B76E126
AAEL027397,AAEL027397-RA,,Q173Z5,UPI0000DA9EBD
AAEL020936,AAEL020936-RK,,,UPI000B7805EB
AAEL020936,AAEL020936-RJ,,,UPI000B7805EB
AAEL020936,AAEL020936-RI,,,UPI000B7805EB
AAEL020936,AAEL020936-RH,,,UPI000B7805EB
AAEL020936,AAEL020936-RG,,,UPI000B7805EB
AAEL020936,AAEL020936-RF,,Q17AD2,UPI000B7805EB
AAEL020936,AAEL020936-RE,,,UPI000B7805EB
AAEL020936,AAEL020936-RD,,,UPI000B7805EB
AAEL020936,AAEL020936-RC,,,UPI000B7805EB
AAEL020936,AAEL020936-RB,,,UPI000B7805EB
AAEL020936,AAEL020936-RA,,,UPI000B7805EB
AAEL010641,AAEL010641-RB,APG7A,Q16SB9,UPI000B77E015
AAEL001116,AAEL001116-RB,,A0A1S4EXU7,UPI000B795324
AAEL001116,AAEL001116-RB,,Q17M41,UPI000B795324
AAEL007547,AAEL007547-RD,,,UPI000B77FF06
AAEL007547,AAEL007547-RC,,Q1HRG0,UPI000B797F7E
AAEL007547,AAEL007547-RB,,Q171T6,UPI000B77FF06
AAEL025866,AAEL025866-RA,,,UPI000B79234C
AAEL002878,AAEL002878-RA,,Q17GW4,UPI0000DA9017
AAEL003530,AAEL003530-RA,RpLP1,Q1HRP7,UPI0000D76DCC
AAEL003530,AAEL003530-RA,RpLP1,Q16UQ3,UPI0000D76DCC
AAEL003530,AAEL003530-RA,RpLP1,Q16FG5,UPI0000D76DCC
AAEL000622,AAEL000622-RC,,A0A1S4EWE0,UPI000B788B76
AAEL000622,AAEL000622-RC,,Q17NS6,UPI000B788B76
AAEL004106,AAEL004106-RA,,Q17DP5,UPI0000DA941F
AAEL027611,AAEL027611-RA,,Q176W5,UPI000B781FD2
AAEL002207,AAEL002207-RA,,A0A1S4F117,UPI000B77B94C
AAEL002207,AAEL002207-RA,,Q17IT9,UPI000B77B94C
AAEL025488,AAEL025488-RE,,,UPI000B77D36E
AAEL025488,AAEL025488-RD,,,UPI000B770D77
AAEL025488,AAEL025488-RC,,,UPI000B770D77
AAEL025488,AAEL025488-RB,,,UPI000B770D77
AAEL025488,AAEL025488-RA,,,UPI000B770D77
AAEL004763,AAEL004763-RA,,Q17BY1,UPI0000DA9671
AAEL010689,AAEL010689-RD,,,UPI000B785FDA
AAEL010689,AAEL010689-RC,,,UPI000B77712D
AAEL010689,AAEL010689-RB,,Q16S70,UPI0000DAACBC
AAEL010689,AAEL010689-RB,,A0A1S4FR45,UPI0000DAACBC
AAEL024134,AAEL024134-RA,,Q170C8,UPI0000DAA261
AAEL013883,AAEL013883-RA,,Q16HW2,UPI0000DAB8E1
AAEL013883,AAEL013883-RA,,Q17GQ7,UPI0000DAB8E1
AAEL023307,AAEL023307-RA,,Q16RA4,UPI000B792F2A
AAEL008368,AAEL008368-RA,Or13,Q16Z13,UPI0000DAA3C6
AAEL008368,AAEL008368-RA,Or13,Q17LM6,UPI0000DAA3C6
AAEL008368,AAEL008368-RA,Or13,A0A1S4EYD6,UPI0000DAA3C6
AAEL017181,AAEL017181-RB,GPRMAC1,J9HZX1,UPI000B773807
AAEL020887,AAEL020887-RA,,Q173V2,UPI0000000B5F
AAEL014842,AAEL014842-RC,,Q16FA7,UPI0000DABC3D
AAEL014842,AAEL014842-RD,,Q16FA7,UPI0000DABC3D
AAEL014842,AAEL014842-RA,,Q16FA7,UPI0000DABC3D
AAEL014842,AAEL014842-RB,,Q16FA7,UPI0000DABC3D
AAEL014842,AAEL014842-RB,,Q16ES7,UPI0000DABC3D
AAEL020636,AAEL020636-RA,,Q16YK2,UPI000B78840E
AAEL020636,AAEL020636-RA,,A0A1S4FJM9,UPI000B78840E
AAEL020636,AAEL020636-RA,,A0A0P6JSN4,UPI000B78840E
AAEL011705,AAEL011705-RC,,Q16PA8,UPI0000DAB086
AAEL011705,AAEL011705-RB,,Q16PA8,UPI0000DAB086
AAEL011705,AAEL011705-RA,,A0A1S4FU41,UPI00043BCEEB
AAEL011705,AAEL011705-RD,,Q16PA8,UPI0000DAB086
AAEL010087,AAEL010087-RA,Prosalpha3,Q16TY4,UPI0000DAAA73
AAEL027342,AAEL027342-RA,,Q175K1,UPI000B797074
AAEL027342,AAEL027342-RA,,A0A1S4FE89,UPI000B797074
AAEL027342,AAEL027342-RA,,A0A1S4FE37,UPI000B797074
AAEL027342,AAEL027342-RA,,Q175K0,UPI000B797074
AAEL027342,AAEL027342-RA,,Q175J9,UPI000B797074
AAEL027342,AAEL027342-RA,,Q175K2,UPI000B797074
AAEL013966,AAEL013966-RB,,Q16HN4,UPI0000DAB92B
AAEL013966,AAEL013966-RC,,Q16HN4,UPI0000DAB92B
AAEL013966,AAEL013966-RD,,Q16HN4,UPI0000DAB92B
AAEL013966,AAEL013966-RA,,Q16HN4,UPI0000DAB92B
AAEL002892,AAEL002892-RB,,,UPI000B77177D
AAEL002892,AAEL002892-RA,,A0A1S4F342,UPI000B7877CC
AAEL002892,AAEL002892-RA,,Q17GS6,UPI000B7877CC
AAEL002892,AAEL002892-RD,,,UPI000B77177D
AAEL002892,AAEL002892-RE,,,UPI000B77177D
AAEL002892,AAEL002892-RF,,,UPI000B79950D
AAEL002892,AAEL002892-RC,,,UPI000B77177D
AAEL021317,AAEL021317-RA,,,UPI000B78BD41
AAEL001050,AAEL001050-RA,,Q17ME1,UPI0000DA88C8
AAEL001594,AAEL001594-RA,,Q17KX0,UPI0000DA8AC7
AAEL013992,AAEL013992-RE,,A0A0P6IUS3,UPI0006EC4092
AAEL013992,AAEL013992-RD,,A0A0P6IUS3,UPI0006EC4092
AAEL013992,AAEL013992-RC,,A0A0P6IUS3,UPI0006EC4092
AAEL013992,AAEL013992-RC,,Q16HK3,UPI0006EC4092
AAEL000065,AAEL000065-RB,,A0A1S4EUV1,UPI000B78BFC4
AAEL000065,AAEL000065-RB,,Q0C745,UPI000B78BFC4
AAEL000065,AAEL000065-RC,,A0A1S4EUV1,UPI000B78BFC4
AAEL000065,AAEL000065-RA,,A0A1S4EUV1,UPI000B78BFC4
AAEL020187,AAEL020187-RA,,,UPI000B786060
AAEL002202,AAEL002202-RA,,Q17IX5,UPI0000DA8D69
AAEL021417,AAEL021417-RA,,Q16GP2,UPI000B787C45
AAEL021417,AAEL021417-RA,,Q16RG3,UPI000B787C45
AAEL021417,AAEL021417-RA,,A0A0P6JSL8,UPI000B787C45
AAEL020200,AAEL020200-RB,,,UPI000B7844A8
AAEL020200,AAEL020200-RA,,A0A1S4FM70,UPI000B7844A8
AAEL020200,AAEL020200-RA,,Q16VY0,UPI000B7844A8
AAEL026358,AAEL026358-RA,,,UPI000B798A79
AAEL010063,AAEL010063-RA,,Q16U15,UPI0000DAAA55
AAEL013893,AAEL013893-RA,Or125,Q16HV2,UPI0000DAB8EB
AAEL013893,AAEL013893-RA,Or125,Q17KQ3,UPI0000DAB8EB
AAEL011494,AAEL011494-RA,OBP48,A0A1S4FTC4,UPI000B771D87
AAEL011494,AAEL011494-RA,OBP48,Q16PY2,UPI000B771D87
AAEL026237,AAEL026237-RB,,,UPI000B77A5C1
AAEL026237,AAEL026237-RA,,,UPI000B77A5C1
AAEL013439,AAEL013439-RA,,Q16J54,UPI0000DAB73D
AAEL000180,AAEL000180-RA,mRpL17,A0A1S4EV46,UPI000B783949
AAEL000180,AAEL000180-RA,mRpL17,Q17PZ3,UPI000B783949
AAEL006037,AAEL006037-RC,,Q177T8,UPI000B78A5D8
AAEL006037,AAEL006037-RC,,A0A1S4FCC4,UPI000B78A5D8
AAEL006037,AAEL006037-RB,,,UPI000B7890B5
AAEL005137,AAEL005137-RC,,Q1HRC5,UPI0000D76E44
AAEL005137,AAEL005137-RD,,Q1HRC5,UPI0000D76E44
AAEL005137,AAEL005137-RB,,Q1HRC5,UPI0000D76E44
AAEL005137,AAEL005137-RA,,Q1HRC5,UPI0000D76E44
AAEL005137,AAEL005137-RE,,Q1HRC5,UPI0000D76E44
AAEL006907,AAEL006907-RA,,Q16FK6,UPI0000DABBE2
AAEL006907,AAEL006907-RA,,Q174G5,UPI0000DABBE2
AAEL020151,AAEL020151-RA,,A0A1S4G7E7,UPI000B794B22
AAEL020151,AAEL020151-RA,,A0A0P6IZH3,UPI000B794B22
AAEL020151,AAEL020151-RA,,Q16FP8,UPI000B794B22
AAEL020151,AAEL020151-RA,,A0A0P6ITT9,UPI000B794B22
AAEL020151,AAEL020151-RA,,Q16FP7,UPI000B794B22
AAEL022341,AAEL022341-RA,,,UPI000B7703DC
AAEL024930,AAEL024930-RA,,Q17B84,UPI000B7878B3
AAEL007913,AAEL007913-RA,,A0A1S4FHX9,UPI000B77A6F0
AAEL007913,AAEL007913-RA,,Q170I3,UPI000B77A6F0
AAEL024044,AAEL024044-RA,,,UPI000B7715D3
AAEL008583,AAEL008583-RB,,A0A0P6J513,UPI0006EC41B5
AAEL008583,AAEL008583-RB,,Q16YD6,UPI0006EC41B5
AAEL008583,AAEL008583-RB,,A0A1S4FJU7,UPI0006EC41B5
AAEL002406,AAEL002406-RA,,Q17ID4,UPI0000DA8E20
AAEL020614,AAEL020614-RB,,J9EAF0,UPI000B7776C9
AAEL020614,AAEL020614-RB,,Q16QS7,UPI000B7776C9
AAEL020614,AAEL020614-RA,,,UPI000B7776C9
AAEL003646,AAEL003646-RD,,A0A1S4F5A9,UPI000B77A7DE
AAEL003646,AAEL003646-RC,,,UPI000B79701B
AAEL003646,AAEL003646-RB,,Q17EV7,UPI000B799131
AAEL000628,AAEL000628-RA,Or63,Q17NP4,UPI0000DA870E
AAEL000628,AAEL000628-RA,Or63,A0A1S4EWC6,UPI0000DA870E
AAEL026824,AAEL026824-RA,,,UPI000B772F20
AAEL003187,AAEL003187-RA,CCEAE4C,Q17G41,UPI0000DA9123
AAEL000281,AAEL000281-RB,,Q17PM6,UPI0000DA85D6
AAEL000281,AAEL000281-RA,,Q17PM6,UPI0000DA85D6
AAEL000281,AAEL000281-RC,,Q17PM6,UPI0000DA85D6
AAEL002142,AAEL002142-RA,,A0A1S4F0W6,UPI000B775D42
AAEL002142,AAEL002142-RA,,Q17J12,UPI000B775D42
AAEL005220,AAEL005220-RD,RpL30,Q1HR35,UPI0000D76E98
AAEL005220,AAEL005220-RC,RpL30,Q1HR35,UPI0000D76E98
AAEL000956,AAEL000956-RD,,,UPI000B78B785
AAEL000956,AAEL000956-RK,,Q17MQ4,UPI000B7889DC
AAEL000956,AAEL000956-RE,,,UPI000B78B785
AAEL000956,AAEL000956-RJ,,,UPI000B78B785
AAEL000956,AAEL000956-RI,,,UPI000B78B785
AAEL000956,AAEL000956-RB,,Q17MQ3,UPI0000DA885E
AAEL000956,AAEL000956-RC,,,UPI000B78B785
AAEL000956,AAEL000956-RG,,,UPI000B78B785
AAEL000956,AAEL000956-RH,,,UPI000B78B785
AAEL000956,AAEL000956-RF,,,UPI000B78B785
AAEL003026,AAEL003026-RF,,Q0IGC0,UPI000B79287F
AAEL003026,AAEL003026-RF,,A0A1S4F3S7,UPI000B79287F
AAEL003026,AAEL003026-RC,,A0A1S4F3G4,UPI000B78E83D
AAEL003026,AAEL003026-RD,,A0A1S4F3G4,UPI000B78E83D
AAEL003026,AAEL003026-RA,,A0A1S4F3G4,UPI000B78E83D
AAEL003026,AAEL003026-RB,,A0A1S4F3G4,UPI000B78E83D
AAEL003026,AAEL003026-RG,,,UPI000B79287F
AAEL003026,AAEL003026-RE,,A0A1S4F3G4,UPI000B78E83D
AAEL003026,AAEL003026-RE,,Q0IGB9,UPI000B78E83D
AAEL006508,AAEL006508-RA,,A0A1S4FDQ3,UPI000B781589
AAEL006508,AAEL006508-RA,,Q0IF42,UPI000B781589
AAEL008164,AAEL008164-RA,,Q16ZL1,UPI0000DAA304
AAEL019419,AAEL019419-RB,,,UPI000B79244B
AAEL019419,AAEL019419-RA,,,UPI000B76D0EF
AAEL008945,AAEL008945-RA,,Q16X99,UPI0000DAA614
AAEL012859,AAEL012859-RA,,Q16KU8,UPI0000DAB509
AAEL022387,AAEL022387-RB,,,UPI000B789CC8
AAEL022387,AAEL022387-RA,,Q179P4,UPI000B78F25E
AAEL012252,AAEL012252-RB,,A0A1S4FW22,UPI00043BB197
AAEL012252,AAEL012252-RB,,Q16MM7,UPI00043BB197
AAEL017349,AAEL017349-RA,,Q1HR69,UPI0000D76E78
AAEL017349,AAEL017349-RB,,Q1HR69,UPI0000D76E78
AAEL021838,AAEL021838-RB,,,UPI000B794001
AAEL021838,AAEL021838-RA,,W0FUL2,UPI0003DFEFC0
AAEL009180,AAEL009180-RA,,A0A1S4FLW5,UPI00043BB222
AAEL009180,AAEL009180-RA,,Q16WL0,UPI00043BB222
AAEL009180,AAEL009180-RA,,Q16EF0,UPI00043BB222
AAEL019417,AAEL019417-RF,,,UPI000B79A250
AAEL019417,AAEL019417-RE,,,UPI000B79AEE0
AAEL019417,AAEL019417-RD,,,UPI000B78DCE1
AAEL019417,AAEL019417-RC,,,UPI000B79AEE0
AAEL019417,AAEL019417-RB,,Q17G33,UPI000B79AEE0
AAEL019417,AAEL019417-RB,,A0A0P6J490,UPI000B79AEE0
AAEL019417,AAEL019417-RA,,,UPI000B79AEE0
AAEL013548,AAEL013548-RB,,Q16IT2,UPI000B78D7F3
AAEL011060,AAEL011060-RA,,Q16K79,UPI0000DAB5D7
AAEL011060,AAEL011060-RA,,Q16R62,UPI0000DAB5D7
AAEL019482,AAEL019482-RA,,Q17K80,UPI000B790EBE
AAEL019482,AAEL019482-RA,,Q16HW5,UPI000B790EBE
AAEL003058,AAEL003058-RB,,,UPI000B7756AE
AAEL003058,AAEL003058-RA,,Q0IG97,UPI0000E2644C
AAEL010905,AAEL010905-RJ,,,UPI000B76F56C
AAEL010905,AAEL010905-RI,,,UPI000B76F56C
AAEL010905,AAEL010905-RH,,,UPI000B76F56C
AAEL010905,AAEL010905-RG,,,UPI000B76F56C
AAEL010905,AAEL010905-RF,,,UPI000B76F56C
AAEL010905,AAEL010905-RE,,,UPI000B76F56C
AAEL010905,AAEL010905-RD,,,UPI000B76F56C
AAEL010905,AAEL010905-RC,,Q16RN0,UPI000B76F56C
AAEL010905,AAEL010905-RB,,,UPI000B76F56C
AAEL007476,AAEL007476-RB,,A0A0N8ES17,UPI000B789485
AAEL007476,AAEL007476-RB,,A0A1S4FGT0,UPI000B789485
AAEL007476,AAEL007476-RB,,Q172B6,UPI000B789485
AAEL027828,AAEL027828-RA,,,UPI000B78D9EE
AAEL010193,AAEL010193-RA,,A0A1S4FPI7,UPI00043BC547
AAEL010193,AAEL010193-RA,,Q16TL7,UPI00043BC547
AAEL002000,AAEL002000-RB,,,UPI000B772AFD
AAEL002000,AAEL002000-RA,,A0A1S4F0F3,UPI000B7874DC
AAEL002000,AAEL002000-RA,,Q17JM3,UPI000B7874DC
AAEL002160,AAEL002160-RA,,Q17J37,UPI0000DA8D2B
AAEL001215,AAEL001215-RA,,Q17LX1,UPI0001D4B915
AAEL001215,AAEL001215-RA,,A2I857,UPI0001D4B915
AAEL014377,AAEL014377-RB,,,UPI000B76ED13
AAEL014377,AAEL014377-RA,,A0A1S4G1J0,UPI00043BAFA2
AAEL014377,AAEL014377-RA,,Q16GH3,UPI00043BAFA2
AAEL024235,AAEL024235-RH,,,UPI000B79580F
AAEL024235,AAEL024235-RG,,,UPI000B79580F
AAEL024235,AAEL024235-RF,,,UPI000B777C65
AAEL024235,AAEL024235-RE,,,UPI000B79580F
AAEL024235,AAEL024235-RD,,Q176Z3,UPI000B79580F
AAEL024235,AAEL024235-RD,,A0A0N8ERZ1,UPI000B79580F
AAEL024235,AAEL024235-RC,,,UPI000B78B355
AAEL024235,AAEL024235-RB,,,UPI000B789023
AAEL024235,AAEL024235-RA,,,UPI000B774B67
AAEL026023,AAEL026023-RA,,Q1DGF0,UPI0000D895F9
AAEL026023,AAEL026023-RA,,Q0GY13,UPI0000D895F9
AAEL024014,AAEL024014-RA,,,UPI000B784BEE
AAEL005111,AAEL005111-RC,,Q17B18,UPI000B78CBF5
AAEL005111,AAEL005111-RC,,A0A1S4F9K8,UPI000B78CBF5
AAEL005111,AAEL005111-RB,,,UPI000B79566C
AAEL018289,AAEL018289-RC,,Q17GL6,UPI000B77E373
AAEL018289,AAEL018289-RC,,A0A1S4G7B7,UPI000B77E373
AAEL018289,AAEL018289-RB,,Q17GL5,UPI000B790FC4
AAEL008678,AAEL008678-RA,,A0A1S4FK50,UPI000B76D800
AAEL008678,AAEL008678-RA,,Q16Y35,UPI000B76D800
AAEL025984,AAEL025984-RA,,,UPI000B7841FC
AAEL012438,AAEL012438-RA,,Q16M30,UPI0000DAB36C
AAEL026736,AAEL026736-RA,,Q17GZ3,UPI000B793BD3
AAEL002622,AAEL002622-RA,,A0A1S4F2A5,UPI000B79371E
AAEL008752,AAEL008752-RA,,A0A1S4FKP2,UPI000B7792FD
AAEL008752,AAEL008752-RA,,Q16XU8,UPI000B7792FD
AAEL008752,AAEL008752-RB,,,UPI000B782485
AAEL002158,AAEL002158-RA,,Q17J46,UPI0000DA8D22
AAEL013003,AAEL013003-RD,,Q16KG4,UPI000B76F666
AAEL013003,AAEL013003-RD,,A0A0P6IUB8,UPI000B76F666
AAEL013003,AAEL013003-RC,,,UPI000B76F666
AAEL013003,AAEL013003-RB,,,UPI000B76F666
AAEL008170,AAEL008170-RA,,Q16ZK6,UPI0000DAA309
AAEL003456,AAEL003456-RC,,A0A1S4F4W0,UPI000B79454A
AAEL003456,AAEL003456-RC,,Q17FB3,UPI000B79454A
AAEL003456,AAEL003456-RC,,Q17FB1,UPI000B79454A
AAEL003456,AAEL003456-RB,,A0A1S4F4W0,UPI000B79454A
AAEL003456,AAEL003456-RA,,A0A1S4F4W0,UPI000B79454A
AAEL008073,AAEL008073-RA,,Q16ZT8,UPI0000DAA2B8
AAEL008073,AAEL008073-RA,,Q8T4R6,UPI0000DAA2B8
AAEL008073,AAEL008073-RA,,Q8T4R7,UPI0000DAA2B8
AAEL008073,AAEL008073-RA,,Q8T4R5,UPI0000DAA2B8
AAEL008073,AAEL008073-RA,,Q95PA7,UPI0000DAA2B8
AAEL000388,AAEL000388-RA,,A0A1S4EVP9,UPI000B76F4A8
AAEL000388,AAEL000388-RA,,Q0IGE7,UPI000B76F4A8
AAEL028242,AAEL028242-RB,,Q17AX8,UPI0000DA97C7
AAEL028242,AAEL028242-RA,,Q17AX8,UPI0000DA97C7
AAEL006825,AAEL006825-RB,,Q174Q6,UPI000B76D906
AAEL011777,AAEL011777-RC,SRPN8,,UPI000B792C95
AAEL011777,AAEL011777-RB,SRPN8,A0A0N8ERZ9,UPI0000DAB0D2
AAEL011777,AAEL011777-RB,SRPN8,Q16P31,UPI0000DAB0D2
AAEL021020,AAEL021020-RC,,,UPI000B76C3C0
AAEL021020,AAEL021020-RB,,,UPI000B76C3C0
AAEL021020,AAEL021020-RA,,,UPI000B76C3C0
AAEL020036,AAEL020036-RA,,,UPI000B77CDFE
AAEL011306,AAEL011306-RB,,A0A0P6J5F3,UPI000B770A7B
AAEL011306,AAEL011306-RB,,Q1HQG0,UPI000B770A7B
AAEL011306,AAEL011306-RB,,Q16QF7,UPI000B770A7B
AAEL022478,AAEL022478-RB,,A0A0P6IYK9,UPI0006EC41BA
AAEL022478,AAEL022478-RA,,A0A0P6IYK9,UPI0006EC41BA
AAEL028098,AAEL028098-RA,,,UPI000B7974A6
AAEL009307,AAEL009307-RB,,Q16W72,UPI000B792919
AAEL009307,AAEL009307-RB,,A0A0P6IWV0,UPI000B792919
AAEL009307,AAEL009307-RB,,A0A1S4FLY6,UPI000B792919
AAEL003322,AAEL003322-RB,,A0A1S4F4H5,UPI000B795EAD
AAEL003322,AAEL003322-RC,,A0A1S4F4H5,UPI000B795EAD
AAEL003322,AAEL003322-RD,,A0A1S4F4H5,UPI000B795EAD
AAEL003322,AAEL003322-RE,,A0A1S4F4H5,UPI000B795EAD
AAEL003322,AAEL003322-RA,,A0A1S4F4H5,UPI000B795EAD
AAEL003322,AAEL003322-RA,,Q17FS3,UPI000B795EAD
AAEL009004,AAEL009004-RA,,A0A1S4FL24,UPI000B78743D
AAEL009004,AAEL009004-RA,,Q16X43,UPI000B78743D
AAEL009004,AAEL009004-RA,,Q16EX4,UPI000B78743D
AAEL004582,AAEL004582-RB,,A0A1S4F815,UPI000B781453
