"X.query","uniprot_id","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"tr|Q16M84|Q16M84_AEDAE","Q16M84","7159.AAEL012392-PA","0","1320","KOG1721@1|root,KOG1721@2759|Eukaryota,38BZ9@33154|Opisthokonta,3BA9A@33208|Metazoa,3CT35@33213|Bilateria,426PI@6656|Arthropoda,3SWQT@50557|Insecta,4569D@7147|Diptera,45K0B@7148|Nematocera","33208|Metazoa","S","Zinc finger, C2H2 type","ZKSCAN7",NA,NA,"ko:K09228,ko:K09229",NA,NA,NA,NA,"ko00000,ko03000",NA,NA,NA,"KRAB,SCAN,zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met"
"tr|Q0IE94|Q0IE94_AEDAE","Q0IE94","7159.AAEL012974-PA","1.95e-114","328","COG0509@1|root,KOG3373@2759|Eukaryota,3A5U5@33154|Opisthokonta,3BPTR@33208|Metazoa,3D6G9@33213|Bilateria,41ZS0@6656|Arthropoda,3SNAM@50557|Insecta,453A0@7147|Diptera,45I8N@7148|Nematocera","33208|Metazoa","E","The H protein shuttles the methylamine group of glycine from the P protein to the T protein","GCSH","GO:0001505,GO:0003674,GO:0003824,GO:0004047,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005960,GO:0006082,GO:0006464,GO:0006520,GO:0006544,GO:0006546,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009056,GO:0009063,GO:0009069,GO:0009071,GO:0009249,GO:0009987,GO:0010467,GO:0016054,GO:0016740,GO:0016741,GO:0017144,GO:0018065,GO:0018193,GO:0018205,GO:0019464,GO:0019538,GO:0019752,GO:0019899,GO:0031974,GO:0032259,GO:0032991,GO:0036211,GO:0042133,GO:0042135,GO:0042737,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046395,GO:0051604,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902494,GO:1990204",NA,"ko:K02437","ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200","M00532","R01221","RC00022,RC02834","ko00000,ko00001,ko00002",NA,NA,NA,"GCV_H"
"tr|Q17BK4|Q17BK4_AEDAE","Q17BK4","7159.AAEL004934-PA","0","1429","KOG4722@1|root,KOG4722@2759|Eukaryota,38EJ5@33154|Opisthokonta,3BF45@33208|Metazoa,3CY01@33213|Bilateria,41WUG@6656|Arthropoda,3SGWU@50557|Insecta,44ZK4@7147|Diptera,45EMZ@7148|Nematocera","33208|Metazoa","A","S phase cyclin A-associated protein in the endoplasmic reticulum","SCAPER","GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005819,GO:0005829,GO:0005856,GO:0015630,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCAPER_N,zf-met"
"tr|Q1HRW3|Q1HRW3_AEDAE","Q1HRW3","7159.AAEL002487-PA","2.04e-254","697","KOG3746@1|root,KOG3746@2759|Eukaryota,38DSC@33154|Opisthokonta,3BB0T@33208|Metazoa,3CTXI@33213|Bilateria,41TGM@6656|Arthropoda,3SFY6@50557|Insecta,44Y2Z@7147|Diptera,45BJA@7148|Nematocera","33208|Metazoa","S","PA26 p53-induced protein (sestrin)","SESN1","GO:0000002,GO:0000422,GO:0001101,GO:0001558,GO:0001650,GO:0001932,GO:0003674,GO:0003824,GO:0005092,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0006082,GO:0006109,GO:0006111,GO:0006139,GO:0006259,GO:0006355,GO:0006357,GO:0006417,GO:0006629,GO:0006631,GO:0006635,GO:0006725,GO:0006807,GO:0006810,GO:0006914,GO:0006950,GO:0006974,GO:0006979,GO:0006996,GO:0007005,GO:0007154,GO:0007165,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008643,GO:0008645,GO:0009056,GO:0009062,GO:0009267,GO:0009605,GO:0009636,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010259,GO:0010468,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010675,GO:0010906,GO:0015749,GO:0016042,GO:0016043,GO:0016054,GO:0016209,GO:0016239,GO:0016241,GO:0016491,GO:0016597,GO:0016667,GO:0016684,GO:0017148,GO:0019219,GO:0019220,GO:0019222,GO:0019395,GO:0019752,GO:0022411,GO:0023051,GO:0023052,GO:0023057,GO:0030234,GO:0030258,GO:0030308,GO:0030330,GO:0030695,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031329,GO:0031331,GO:0031399,GO:0031406,GO:0031667,GO:0031668,GO:0031669,GO:0031929,GO:0031974,GO:0031981,GO:0032006,GO:0032007,GO:0032042,GO:0032055,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032542,GO:0032787,GO:0032868,GO:0032879,GO:0032880,GO:0033500,GO:0033554,GO:0034198,GO:0034219,GO:0034248,GO:0034249,GO:0034284,GO:0034440,GO:0034599,GO:0034641,GO:0034976,GO:0035556,GO:0036003,GO:0036091,GO:0036094,GO:0036490,GO:0038203,GO:0040008,GO:0042149,GO:0042221,GO:0042325,GO:0042592,GO:0042593,GO:0042594,GO:0042770,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043177,GO:0043200,GO:0043201,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043255,GO:0043434,GO:0043436,GO:0043491,GO:0043549,GO:0043555,GO:0043618,GO:0043619,GO:0043620,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044260,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044452,GO:0044464,GO:0045859,GO:0045893,GO:0045926,GO:0045935,GO:0045944,GO:0046323,GO:0046395,GO:0046483,GO:0046626,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0048878,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051252,GO:0051254,GO:0051338,GO:0051716,GO:0051896,GO:0055085,GO:0055088,GO:0055090,GO:0055114,GO:0060255,GO:0060341,GO:0060589,GO:0061726,GO:0061919,GO:0062012,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070328,GO:0070728,GO:0070887,GO:0071229,GO:0071230,GO:0071233,GO:0071310,GO:0071417,GO:0071495,GO:0071496,GO:0071702,GO:0071704,GO:0071840,GO:0071900,GO:0072329,GO:0072331,GO:0072593,GO:0080090,GO:0090304,GO:0097237,GO:0098754,GO:0098772,GO:0098869,GO:1900076,GO:1900180,GO:1900182,GO:1901360,GO:1901522,GO:1901575,GO:1901652,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902010,GO:1902531,GO:1902532,GO:1902680,GO:1903008,GO:1903432,GO:1903506,GO:1903508,GO:1903827,GO:1903829,GO:1904262,GO:1904502,GO:1904504,GO:1904659,GO:1990253,GO:1990748,GO:1990928,GO:2000112,GO:2000113,GO:2000377,GO:2000479,GO:2001141",NA,"ko:K10141,ko:K20394","ko04115,ko04150,ko04211,map04115,map04150,map04211",NA,NA,NA,"ko00000,ko00001",NA,NA,NA,"PA26"
"tr|Q16RP7|Q16RP7_AEDAE","Q16RP7","7159.AAEL010883-PA","0","1555","COG0733@1|root,KOG3660@2759|Eukaryota,3A5G1@33154|Opisthokonta,3BTH3@33208|Metazoa,3D8ZX@33213|Bilateria,420ED@6656|Arthropoda,3SN7P@50557|Insecta,451TC@7147|Diptera,45HF2@7148|Nematocera","33208|Metazoa","P","Sodium chloride dependent transporter",NA,"GO:0002009,GO:0003674,GO:0005215,GO:0005326,GO:0005328,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006836,GO:0008150,GO:0008324,GO:0009653,GO:0009888,GO:0015075,GO:0015077,GO:0015081,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015672,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0032502,GO:0034220,GO:0035725,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048729,GO:0048856,GO:0051179,GO:0051234,GO:0055085,GO:0060429,GO:0071944,GO:0098655,GO:0098660,GO:0098662",NA,"ko:K05336",NA,NA,NA,NA,"ko00000,ko02000","2.A.22",NA,NA,"SNF"
"tr|Q16KR0|Q16KR0_AEDAE","Q16KR0","7159.AAEL012908-PA","0","1789","KOG1217@1|root,KOG1217@2759|Eukaryota,38BUP@33154|Opisthokonta,3BA2W@33208|Metazoa,3CUNH@33213|Bilateria,41VHE@6656|Arthropoda,3SKFR@50557|Insecta,4510U@7147|Diptera,45JQZ@7148|Nematocera","33208|Metazoa","T","EGF domain, unclasssified subfamily","fbn-1","GO:0002009,GO:0002165,GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0007275,GO:0007424,GO:0007444,GO:0007472,GO:0007475,GO:0007476,GO:0007552,GO:0007560,GO:0007591,GO:0008150,GO:0008362,GO:0008587,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0022404,GO:0031012,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0040003,GO:0040005,GO:0042303,GO:0042335,GO:0044421,GO:0044719,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0060429,GO:0060541,GO:0060562,GO:0065007,GO:0065008,GO:0090066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EGF_CA"
"tr|Q16VR4|Q16VR4_AEDAE","Q16VR4","7159.AAEL009467-PA","2.77e-114","327","KOG3655@1|root,KOG3655@2759|Eukaryota,3A0P2@33154|Opisthokonta,3BPNG@33208|Metazoa,3D6PD@33213|Bilateria,41ZF0@6656|Arthropoda,3SMSR@50557|Insecta,45368@7147|Diptera,45I44@7148|Nematocera","33208|Metazoa","Z","Cofilin/tropomyosin-type actin-binding protein","COTL1","GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006887,GO:0006950,GO:0006952,GO:0006955,GO:0008092,GO:0008150,GO:0009605,GO:0009607,GO:0009620,GO:0009987,GO:0012505,GO:0016192,GO:0019899,GO:0030141,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032940,GO:0034774,GO:0036230,GO:0042119,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043233,GO:0043299,GO:0043312,GO:0044422,GO:0044424,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0046903,GO:0050832,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0060205,GO:0070013,GO:0097708,GO:0098542,GO:0099503,GO:0101002,GO:1904813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cofilin_ADF"
"tr|Q16Z01|Q16Z01_AEDAE","Q16Z01","7159.AAEL008371-PA","0","5438","KOG1826@1|root,KOG1826@2759|Eukaryota,38EMB@33154|Opisthokonta,3BBWX@33208|Metazoa,3CW2Y@33213|Bilateria,41VM7@6656|Arthropoda,3SKHY@50557|Insecta,44YUA@7147|Diptera,45C5W@7148|Nematocera","33208|Metazoa","V","GTPase-activator protein for Ras-like GTPases","NF1","GO:0000165,GO:0001503,GO:0001505,GO:0001568,GO:0001649,GO:0001654,GO:0001655,GO:0001656,GO:0001666,GO:0001822,GO:0001889,GO:0001932,GO:0001933,GO:0001936,GO:0001937,GO:0001938,GO:0001942,GO:0001944,GO:0001952,GO:0001953,GO:0002682,GO:0002683,GO:0002761,GO:0002762,GO:0003008,GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006836,GO:0006865,GO:0006915,GO:0006950,GO:0006979,GO:0006996,GO:0007010,GO:0007154,GO:0007162,GO:0007165,GO:0007166,GO:0007264,GO:0007265,GO:0007267,GO:0007268,GO:0007269,GO:0007272,GO:0007275,GO:0007399,GO:0007406,GO:0007417,GO:0007420,GO:0007422,GO:0007423,GO:0007507,GO:0007517,GO:0007519,GO:0007568,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007614,GO:0007616,GO:0007622,GO:0007623,GO:0007626,GO:0007632,GO:0007635,GO:0008017,GO:0008047,GO:0008092,GO:0008150,GO:0008152,GO:0008219,GO:0008284,GO:0008285,GO:0008289,GO:0008306,GO:0008340,GO:0008344,GO:0008355,GO:0008366,GO:0008429,GO:0008542,GO:0008544,GO:0008582,GO:0008625,GO:0009266,GO:0009314,GO:0009408,GO:0009410,GO:0009416,GO:0009611,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009892,GO:0009898,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010001,GO:0010033,GO:0010259,GO:0010468,GO:0010563,GO:0010594,GO:0010605,GO:0010632,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010721,GO:0010810,GO:0010812,GO:0010941,GO:0010942,GO:0010975,GO:0010976,GO:0012501,GO:0014002,GO:0014013,GO:0014014,GO:0014037,GO:0014044,GO:0014047,GO:0014051,GO:0014065,GO:0014069,GO:0014070,GO:0014706,GO:0015631,GO:0015711,GO:0015718,GO:0015800,GO:0015812,GO:0015849,GO:0016020,GO:0016043,GO:0016049,GO:0016310,GO:0016525,GO:0019220,GO:0019222,GO:0019538,GO:0019932,GO:0019933,GO:0019935,GO:0021510,GO:0021537,GO:0021543,GO:0021700,GO:0021761,GO:0021764,GO:0021782,GO:0021896,GO:0021897,GO:0021915,GO:0021987,GO:0022008,GO:0022011,GO:0022404,GO:0022405,GO:0022603,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0023061,GO:0030029,GO:0030036,GO:0030154,GO:0030155,GO:0030198,GO:0030199,GO:0030234,GO:0030325,GO:0030334,GO:0030336,GO:0030424,GO:0030425,GO:0030534,GO:0030695,GO:0030900,GO:0031210,GO:0031224,GO:0031226,GO:0031235,GO:0031279,GO:0031281,GO:0031323,GO:0031324,GO:0031344,GO:0031346,GO:0031399,GO:0031400,GO:0031960,GO:0032228,GO:0032268,GO:0032269,GO:0032279,GO:0032292,GO:0032386,GO:0032387,GO:0032501,GO:0032502,GO:0032870,GO:0032879,GO:0032880,GO:0032940,GO:0032991,GO:0033157,GO:0033554,GO:0033673,GO:0033993,GO:0034103,GO:0034605,GO:0035020,GO:0035021,GO:0035239,GO:0035249,GO:0035270,GO:0035295,GO:0035556,GO:0035690,GO:0036211,GO:0036293,GO:0036477,GO:0040007,GO:0040008,GO:0040012,GO:0040013,GO:0040014,GO:0040018,GO:0042048,GO:0042060,GO:0042063,GO:0042065,GO:0042066,GO:0042127,GO:0042221,GO:0042303,GO:0042306,GO:0042308,GO:0042325,GO:0042326,GO:0042493,GO:0042552,GO:0042633,GO:0042981,GO:0042995,GO:0043005,GO:0043009,GO:0043010,GO:0043062,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043086,GO:0043087,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043394,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043473,GO:0043523,GO:0043525,GO:0043535,GO:0043547,GO:0043549,GO:0043588,GO:0043933,GO:0044087,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044444,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0045124,GO:0045202,GO:0045475,GO:0045545,GO:0045595,GO:0045596,GO:0045597,GO:0045637,GO:0045638,GO:0045664,GO:0045666,GO:0045670,GO:0045671,GO:0045685,GO:0045686,GO:0045761,GO:0045762,GO:0045765,GO:0045859,GO:0045886,GO:0045926,GO:0045927,GO:0045936,GO:0046578,GO:0046580,GO:0046717,GO:0046822,GO:0046823,GO:0046850,GO:0046903,GO:0046928,GO:0046929,GO:0046942,GO:0048015,GO:0048017,GO:0048145,GO:0048147,GO:0048167,GO:0048168,GO:0048169,GO:0048468,GO:0048483,GO:0048485,GO:0048511,GO:0048512,GO:0048513,GO:0048514,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048584,GO:0048585,GO:0048588,GO:0048589,GO:0048592,GO:0048593,GO:0048638,GO:0048639,GO:0048640,GO:0048699,GO:0048708,GO:0048710,GO:0048712,GO:0048713,GO:0048715,GO:0048731,GO:0048732,GO:0048745,GO:0048820,GO:0048844,GO:0048853,GO:0048854,GO:0048856,GO:0048869,GO:0050678,GO:0050679,GO:0050680,GO:0050767,GO:0050768,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050804,GO:0050805,GO:0050807,GO:0050877,GO:0050890,GO:0050896,GO:0050997,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051056,GO:0051058,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051223,GO:0051224,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051248,GO:0051270,GO:0051271,GO:0051336,GO:0051338,GO:0051339,GO:0051345,GO:0051348,GO:0051349,GO:0051384,GO:0051588,GO:0051589,GO:0051641,GO:0051649,GO:0051716,GO:0051932,GO:0051960,GO:0051961,GO:0051962,GO:0051963,GO:0051964,GO:0060255,GO:0060284,GO:0060322,GO:0060341,GO:0060429,GO:0060537,GO:0060538,GO:0060589,GO:0060840,GO:0061008,GO:0061061,GO:0061534,GO:0061535,GO:0065007,GO:0065008,GO:0065009,GO:0070201,GO:0070405,GO:0070482,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071466,GO:0071495,GO:0071548,GO:0071549,GO:0071695,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071900,GO:0071901,GO:0071944,GO:0072001,GO:0072091,GO:0072358,GO:0072359,GO:0080090,GO:0090087,GO:0090317,GO:0090596,GO:0097190,GO:0097191,GO:0097327,GO:0097367,GO:0097435,GO:0097447,GO:0097458,GO:0098552,GO:0098562,GO:0098597,GO:0098772,GO:0098773,GO:0098794,GO:0098916,GO:0098984,GO:0099177,GO:0099536,GO:0099537,GO:0099572,GO:0099643,GO:0120025,GO:0120035,GO:0120038,GO:1900180,GO:1900181,GO:1900271,GO:1901214,GO:1901216,GO:1901342,GO:1901343,GO:1901564,GO:1901654,GO:1901655,GO:1901700,GO:1901701,GO:1902041,GO:1902043,GO:1902105,GO:1902106,GO:1902531,GO:1902532,GO:1902692,GO:1903530,GO:1903531,GO:1903706,GO:1903707,GO:1903827,GO:1903828,GO:1904396,GO:1904397,GO:1904589,GO:1904590,GO:1904950,GO:1905809,GO:1990089,GO:1990090,GO:2000026,GO:2000145,GO:2000146,GO:2000177,GO:2000178,GO:2000181,GO:2000647,GO:2001233,GO:2001235,GO:2001236,GO:2001238,GO:2001239,GO:2001241",NA,"ko:K08052","ko01521,ko04010,ko04014,map01521,map04010,map04014",NA,NA,NA,"ko00000,ko00001",NA,NA,NA,"CRAL_TRIO_2,RasGAP"
"tr|Q16VA1|Q16VA1_AEDAE","Q16VA1","7159.AAEL009630-PA","0","1605","KOG3689@1|root,KOG3689@2759|Eukaryota,38EUX@33154|Opisthokonta,3BD4Q@33208|Metazoa,3CVDF@33213|Bilateria,41Y15@6656|Arthropoda,3SFRN@50557|Insecta,450N0@7147|Diptera,45CQ4@7148|Nematocera","33208|Metazoa","T","cGMP-specific 3',5'-cyclic phosphodiesterase","PDE9A","GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008081,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009154,GO:0009166,GO:0009187,GO:0009214,GO:0009259,GO:0009261,GO:0009987,GO:0010611,GO:0010613,GO:0014742,GO:0014743,GO:0016020,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019932,GO:0019934,GO:0019935,GO:0023052,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035556,GO:0036477,GO:0042383,GO:0042578,GO:0042802,GO:0043025,GO:0043204,GO:0043502,GO:0044057,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044297,GO:0044464,GO:0046068,GO:0046069,GO:0046434,GO:0046483,GO:0046700,GO:0047555,GO:0048518,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051239,GO:0051240,GO:0051716,GO:0055086,GO:0065007,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0090257,GO:0097458,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576","3.1.4.35,3.1.4.53","ko:K13761,ko:K18437","ko00230,ko04927,ko04934,ko05032,map00230,map04927,map04934,map05032",NA,"R00191,R01234","RC00296","ko00000,ko00001,ko01000",NA,NA,NA,"PDEase_I"
"tr|Q16EE7|Q16EE7_AEDAE","Q16EE7","7159.AAEL015235-PA","1.99e-243","675","COG2268@1|root,KOG2668@2759|Eukaryota,38BR8@33154|Opisthokonta,3BCIK@33208|Metazoa,3CYFN@33213|Bilateria,41WF7@6656|Arthropoda,3SHM8@50557|Insecta,44XMH@7147|Diptera,45C3D@7148|Nematocera","33208|Metazoa","UZ","Flotillin","FLOT1","GO:0000902,GO:0000904,GO:0001765,GO:0001817,GO:0001819,GO:0001931,GO:0001932,GO:0001934,GO:0002020,GO:0002090,GO:0002682,GO:0002684,GO:0003674,GO:0005102,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005813,GO:0005815,GO:0005856,GO:0005886,GO:0005901,GO:0005911,GO:0005912,GO:0005913,GO:0006403,GO:0006810,GO:0006897,GO:0006928,GO:0006935,GO:0006950,GO:0007009,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0008104,GO:0008150,GO:0009605,GO:0009653,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010256,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010830,GO:0010831,GO:0012505,GO:0014070,GO:0015630,GO:0015931,GO:0016020,GO:0016043,GO:0016192,GO:0016202,GO:0016323,GO:0016600,GO:0019220,GO:0019222,GO:0019899,GO:0022008,GO:0022407,GO:0022409,GO:0022411,GO:0022603,GO:0022607,GO:0022617,GO:0023051,GO:0023052,GO:0023056,GO:0030027,GO:0030030,GO:0030054,GO:0030100,GO:0030154,GO:0030155,GO:0030182,GO:0030198,GO:0031175,GO:0031252,GO:0031254,GO:0031323,GO:0031325,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0031410,GO:0031579,GO:0031647,GO:0031982,GO:0032092,GO:0032225,GO:0032226,GO:0032268,GO:0032270,GO:0032479,GO:0032481,GO:0032501,GO:0032502,GO:0032648,GO:0032728,GO:0032879,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033227,GO:0033554,GO:0034114,GO:0034116,GO:0034121,GO:0034123,GO:0034139,GO:0034141,GO:0034451,GO:0034613,GO:0034976,GO:0035023,GO:0035254,GO:0035255,GO:0035556,GO:0040011,GO:0042221,GO:0042325,GO:0042327,GO:0042330,GO:0042383,GO:0042995,GO:0043062,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043232,GO:0043330,GO:0043331,GO:0043393,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044091,GO:0044093,GO:0044291,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044444,GO:0044446,GO:0044450,GO:0044459,GO:0044464,GO:0044853,GO:0044854,GO:0044857,GO:0045088,GO:0045089,GO:0045121,GO:0045177,GO:0045595,GO:0045597,GO:0045785,GO:0045807,GO:0045844,GO:0045937,GO:0046578,GO:0046982,GO:0046983,GO:0048259,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048634,GO:0048636,GO:0048641,GO:0048643,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050657,GO:0050658,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050804,GO:0050806,GO:0050821,GO:0050896,GO:0051049,GO:0051050,GO:0051056,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051130,GO:0051147,GO:0051149,GO:0051153,GO:0051155,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051236,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051259,GO:0051260,GO:0051641,GO:0051716,GO:0060142,GO:0060143,GO:0060255,GO:0060353,GO:0060355,GO:0060627,GO:0061024,GO:0061564,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070161,GO:0070528,GO:0070727,GO:0070887,GO:0071310,GO:0071359,GO:0071360,GO:0071407,GO:0071702,GO:0071705,GO:0071709,GO:0071840,GO:0071944,GO:0072657,GO:0072659,GO:0080090,GO:0080134,GO:0097485,GO:0097708,GO:0098589,GO:0098590,GO:0098657,GO:0098796,GO:0098797,GO:0098805,GO:0098857,GO:0099177,GO:0120025,GO:0120036,GO:0120039,GO:1901698,GO:1901699,GO:1901739,GO:1901741,GO:1901861,GO:1901863,GO:1901888,GO:1901890,GO:1902531,GO:1903044,GO:1990778,GO:2000026,GO:2000047,GO:2000049",NA,"ko:K07192","ko04910,map04910",NA,NA,NA,"ko00000,ko00001,ko03036,ko04131,ko04147",NA,NA,NA,"Band_7,Flot"
