"mRNA","uniprot_id","gene_name","microRNA","energy","targetStart","targetEnd","score"
"ENST00000378164","Q6P1X5","TAF2","hsa-miR-548ba",-9.1,841,860,0.999658487181141
"ENST00000429674","F2Z3Q4","SLC25A40","hsa-miR-548ba",-8.9,537,553,0.999658487181141
"ENST00000515506","H0Y9C1","CNOT6L","hsa-miR-548ba",-9,1398,1414,0.999658487181141
"ENST00000539935","O00305","CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000635738",NA,"CACNB4","hsa-miR-548ba",-9.3,4944,4960,0.999658487181141
"ENST00000636130",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000636350",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000636598",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000636901",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000637217",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000637309",NA,"CACNB4","hsa-miR-548ba",-9.3,4414,4430,0.999658487181141
"ENST00000637547",NA,"CACNB4","hsa-miR-548ba",-9.3,4166,4182,0.999658487181141
"ENST00000255531","Q8TAB3","PCDH19","hsa-let-7b-5p",-21.26,1899,1947,0.99965843904079
"ENST00000338595","Q9H4Y5","GSTO2","hsa-let-7b-3p",-18.5,3942,3979,0.99965843904079
"ENST00000369707","Q9H4Y5","GSTO2","hsa-let-7b-3p",-18.5,3942,3979,0.99965843904079
"ENST00000373034","Q8TAB3","PCDH19","hsa-let-7b-5p",-21.26,1899,1947,0.99965843904079
"ENST00000420881","Q8TAB3","PCDH19","hsa-let-7b-5p",-21.26,1899,1947,0.99965843904079
"ENST00000368790","Q9UGL9","CRCT1","hsa-let-7b-5p",-18.3,297,318,0.999658154452008
"ENST00000429747","Q96A23","CPNE4","hsa-let-7b-3p",-14.7,1541,1564,0.999658154452008
"ENST00000444303","Q01432","AMPD3","hsa-let-7b-3p",-11.1,1608,1623,0.999658154452008
"ENST00000512055","Q96A23","CPNE4","hsa-let-7b-3p",-14.7,1541,1564,0.999658154452008
"ENST00000617767","Q96A23","CPNE4","hsa-let-7b-3p",-14.7,1541,1564,0.999658154452008
"ENST00000327419","Q6NUJ2","C11orf87","hsa-let-7b-3p",-15.98,3963,4016,0.999657284635772
"ENST00000370924","P43115","PTGER3","hsa-let-7b-3p",-15.83,4129,4219,0.999657284635772
"ENST00000533608","Q93063","EXT2","hsa-let-7b-3p",-12.4,7515,7529,0.999655785054431
"ENST00000533625","G3V435","TTC6","hsa-let-7b-5p",-17.9,2059,2077,0.999655785054431
"ENST00000309964","O15516","CLOCK","hsa-miR-548ba",-14.77,6307,6352,0.999655082749277
"ENST00000513440","O15516","CLOCK","hsa-miR-548ba",-14.77,6307,6352,0.999655082749277
"ENST00000265728","Q9UBU7","DBF4","hsa-miR-548ba",-11.1,586,608,0.999652385853292
"ENST00000510089","Q8NDZ6","TMEM161B","hsa-miR-548ba",-10.4,1533,1546,0.999652385853292
"ENST00000406297","Q2M2I8","AAK1","hsa-miR-548ba",-9.49,36,71,0.999648676174141
"ENST00000265807","Q9H788","SH2D4A","hsa-miR-548ba",-10.7,1539,1551,0.999648255465443
"ENST00000371037","Q9BQI5","SGIP1","hsa-miR-548ba",-9.3,7781,7793,0.999648255465443
"ENST00000392982","Q5GFL6","VWA2","hsa-miR-548ba",-13.7,3158,3176,0.999648255465443
"ENST00000319550","Q5TFE4","NT5DC1","hsa-let-7b-5p",-16.23,2514,2556,0.999648190073857
"ENST00000510585","Q6ZNX1","CTC-534A2.2","hsa-let-7b-3p",-12.3,200,269,0.999648190073857
"ENST00000222747","O95859","TSPAN12","hsa-let-7b-3p",-13.51,1174,1205,0.999647600415673
"ENST00000242729","Q14714","SSPN","hsa-let-7b-3p",-11.6,3358,3374,0.999647600415673
"ENST00000250457","Q9H6Z9","EGLN3","hsa-let-7b-3p",-12.5,1547,1567,0.999647600415673
"ENST00000340353","Q86UB9","TMEM135","hsa-let-7b-5p",-18.3,2099,2125,0.999647600415673
"ENST00000349880","Q8IVL1","NAV2","hsa-let-7b-3p",-12.5,3120,3140,0.999647600415673
"ENST00000355689","Q86WT1","TTC30A","hsa-let-7b-3p",-11.9,3411,3432,0.999647600415673
"ENST00000358309","P49238","CX3CR1","hsa-let-7b-3p",-13.7,1803,1824,0.999647600415673
"ENST00000360655","Q8IVL1","NAV2","hsa-let-7b-3p",-12.5,3120,3140,0.999647600415673
"ENST00000369727","Q86XK3","SFR1","hsa-let-7b-5p",-13.4,563,591,0.999647600415673
"ENST00000369729","Q86XK3","SFR1","hsa-let-7b-5p",-13.4,563,591,0.999647600415673
"ENST00000396085","Q8IVL1","NAV2","hsa-let-7b-3p",-12.5,3120,3140,0.999647600415673
"ENST00000399220","P49238","CX3CR1","hsa-let-7b-3p",-13.7,1803,1824,0.999647600415673
"ENST00000422622","Q14714","SSPN","hsa-let-7b-3p",-11.6,3358,3374,0.999647600415673
"ENST00000527559","A0A0A0MTE8","NAV2","hsa-let-7b-3p",-12.5,3120,3140,0.999647600415673
"ENST00000540292","A0A0A0MTL4","NAV2","hsa-let-7b-3p",-12.5,3120,3140,0.999647600415673
"ENST00000541347","P49238","CX3CR1","hsa-let-7b-3p",-13.7,1803,1824,0.999647600415673
"ENST00000542107","P49238","CX3CR1","hsa-let-7b-3p",-13.7,1803,1824,0.999647600415673
"ENST00000665484",NA,NA,"hsa-let-7b-3p",-13.5,2314,2336,0.999647600415673
"ENST00000309241","Q86YN6","PPARGC1B","hsa-miR-548ba",-11.45,5584,5625,0.999647314222578
"ENST00000343769","P35789","ZNF93","hsa-miR-548ba",-11.21,551,594,0.999647314222578
"ENST00000186436","Q92545","TMEM131","hsa-let-7b-3p",-12.3,616,637,0.999646910247842
"ENST00000376112","P41134","ID1","hsa-let-7b-3p",-11,308,330,0.999646910247842
"ENST00000315249","Q8WZ73","RFFL","hsa-let-7b-3p",-19.05,5848,5888,0.999644361698083
"ENST00000394597","Q8WZ73","RFFL","hsa-let-7b-3p",-19.05,5848,5888,0.999644361698083
"ENST00000641323",NA,NA,"hsa-let-7b-3p",-16.71,3190,3229,0.999644361698083
"ENST00000642017",NA,NA,"hsa-let-7b-3p",-16.71,2385,2424,0.999644361698083
"ENST00000244763","P43307","SSR1","hsa-let-7b-3p",-14.25,757,805,0.999643905330858
"ENST00000292579","P15622","ZNF250","hsa-let-7b-3p",-10.97,519,542,0.999643905330858
"ENST00000316623","P35555","FBN1","hsa-let-7b-3p",-12.76,192,211,0.999643905330858
"ENST00000338965","Q68D85","NCR3LG1","hsa-let-7b-5p",-18.45,517,556,0.999643905330858
"ENST00000343307","Q6Y288","B3GLCT","hsa-let-7b-3p",-16.22,98,142,0.999643905330858
"ENST00000357947","Q9Y6L7","TLL2","hsa-let-7b-3p",-14.05,400,443,0.999643905330858
"ENST00000403729","P58335","ANTXR2","hsa-let-7b-5p",-17.41,608,638,0.999643905330858
"ENST00000417550","P15622","ZNF250","hsa-let-7b-3p",-10.97,519,542,0.999643905330858
"ENST00000534136","E9PJM3","FBXO3","hsa-let-7b-3p",-11.7,211,247,0.999643905330858
"ENST00000629335",NA,"EHMT1","hsa-let-7b-3p",-13.77,143,195,0.999643905330858
"ENST00000679368",NA,NA,"hsa-let-7b-5p",-17.79,220,261,0.999643905330858
"ENST00000676799",NA,NA,"hsa-let-7b-5p",-12.75,2998,3036,0.999642452449533
"ENST00000676958",NA,NA,"hsa-let-7b-5p",-12.75,2357,2395,0.999642452449533
"ENST00000678630",NA,NA,"hsa-let-7b-5p",-12.75,3014,3052,0.999642452449533
"ENST00000085219","P20273","CD22","hsa-let-7b-5p",-17.7,414,447,0.999641658297435
"ENST00000173527","Q96CN7","ISOC1","hsa-miR-548ba",-12.34,168,213,0.999641658297435
"ENST00000201031","Q92754","TFAP2C","hsa-miR-548ba",-9.56,419,458,0.999641658297435
"ENST00000216277","P51003","PAPOLA","hsa-miR-548ba",-9.8,732,758,0.999641658297435
"ENST00000219919","O43315","AQP9","hsa-miR-548ba",-12.7,919,963,0.999641658297435
"ENST00000226328","Q7L099","RUFY3","hsa-miR-548ba",-10.24,568,602,0.999641658297435
"ENST00000240719","Q6P9A3","ZNF549","hsa-miR-548ba",-9.8,373,411,0.999641658297435
"ENST00000243326","Q5UIP0","RIF1","hsa-miR-548ba",-11.2,2088,2116,0.999641658297435
"ENST00000243389","Q7Z2H8","SLC36A1","hsa-miR-548ba",-15.96,1406,1445,0.999641658297435
"ENST00000249700","Q9NZR1","TMOD2","hsa-let-7b-5p",-16.99,2238,2277,0.999641658297435
"ENST00000253401","O43307","ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000256644","A0A0C4DGV4","LAMTOR5","hsa-miR-548ba",-16.2,18,63,0.999641658297435
"ENST00000261660","Q9BRF8","CPPED1","hsa-miR-548ba",-12.93,648,682,0.999641658297435
"ENST00000262101","P21757","MSR1","hsa-miR-548ba",-15.11,1296,1341,0.999641658297435
"ENST00000262457","Q9Y283","INVS","hsa-miR-548ba",-14,1091,1119,0.999641658297435
"ENST00000264027","O75845","SC5D","hsa-miR-548ba",-13.36,2286,2333,0.999641658297435
"ENST00000264596","Q8TAT5","NEIL3","hsa-miR-548ba",-10.6,164,187,0.999641658297435
"ENST00000264718","Q9HCN4","GPN1","hsa-let-7b-5p",-17.17,912,945,0.999641658297435
"ENST00000265909","Q92543","SNX19","hsa-let-7b-5p",-19.96,4900,4937,0.999641658297435
"ENST00000267485","Q86TY3","C14orf37","hsa-miR-548ba",-10.6,2159,2177,0.999641658297435
"ENST00000271450","P12318","FCGR2A","hsa-miR-548ba",-10.1,898,942,0.999641658297435
"ENST00000272438","Q6UWH6","TEX261","hsa-miR-548ba",-11.6,1286,1304,0.999641658297435
"ENST00000286614","P51512","MMP16","hsa-miR-548ba",-10.59,5255,5288,0.999641658297435
"ENST00000296641","O00254","F2RL2","hsa-miR-548ba",-12.47,467,519,0.999641658297435
"ENST00000297459","Q96NL1","TMEM74","hsa-miR-548ba",-10.62,2629,2661,0.999641658297435
"ENST00000299824","Q96T49","PPP1R16B","hsa-let-7b-5p",-16.52,3189,3218,0.999641658297435
"ENST00000304084","Q9BXN2","CLEC7A","hsa-miR-548ba",-12.95,541,582,0.999641658297435
"ENST00000309447","Q9ULI1","NWD2","hsa-miR-548ba",-13.65,936,986,0.999641658297435
"ENST00000310085","Q2M329","CCDC96","hsa-miR-548ba",-10.79,21,69,0.999641658297435
"ENST00000310092","Q9BWF3","RBM4","hsa-miR-548ba",-11.3,122,141,0.999641658297435
"ENST00000311806","O95747","OXSR1","hsa-miR-548ba",-11.12,1352,1389,0.999641658297435
"ENST00000330514","P36383","GJC1","hsa-miR-548ba",-9.76,867,918,0.999641658297435
"ENST00000335251","Q9ULD6","INTU","hsa-miR-548ba",-11.8,1989,2019,0.999641658297435
"ENST00000341773","P20273","CD22","hsa-let-7b-5p",-17.7,414,447,0.999641658297435
"ENST00000342983","Q9Y3L5","RAP2C","hsa-miR-548ba",-10.26,1149,1179,0.999641658297435
"ENST00000346085","Q8NFD5","ARID1B","hsa-let-7b-5p",-21.79,2013,2048,0.999641658297435
"ENST00000350896","P21757","MSR1","hsa-miR-548ba",-15.11,1296,1341,0.999641658297435
"ENST00000353231","Q9BXN2","CLEC7A","hsa-miR-548ba",-12.95,541,582,0.999641658297435
"ENST00000354674","F8WAI0","SYNE1","hsa-miR-548ba",-13.9,476,505,0.999641658297435
"ENST00000354841","Q01740","FMO1","hsa-miR-548ba",-10.91,31,78,0.999641658297435
"ENST00000357992","P28324","ELK4","hsa-miR-548ba",-10.8,6249,6277,0.999641658297435
"ENST00000358070","H3BLV5","DCX","hsa-miR-548ba",-12.44,5248,5292,0.999641658297435
"ENST00000360299","P61020","RAB5B","hsa-let-7b-5p",-20.5,1389,1418,0.999641658297435
"ENST00000361956","Q9H4F8","SMOC1","hsa-let-7b-5p",-14.94,1303,1328,0.999641658297435
"ENST00000366862","Q9NVF7","FBXO28","hsa-miR-548ba",-13.95,2986,3032,0.999641658297435
"ENST00000367255","Q8NF91","SYNE1","hsa-miR-548ba",-13.9,476,505,0.999641658297435
"ENST00000367257","H0Y326","SYNE1","hsa-miR-548ba",-13.9,681,710,0.999641658297435
"ENST00000367750","Q01740","FMO1","hsa-miR-548ba",-10.91,31,78,0.999641658297435
"ENST00000368918","Q8TAK5","GABPB2","hsa-let-7b-5p",-18.1,4471,4496,0.999641658297435
"ENST00000369483","O75054","IGSF3","hsa-let-7b-5p",-14.7,1252,1273,0.999641658297435
"ENST00000369486","O75054","IGSF3","hsa-let-7b-5p",-14.7,1252,1273,0.999641658297435
"ENST00000370550","Q7LGA3","HS2ST1","hsa-miR-548ba",-12.44,1793,1815,0.999641658297435
"ENST00000370874","Q9Y3L5","RAP2C","hsa-miR-548ba",-10.26,1149,1179,0.999641658297435
"ENST00000371993","O43602","DCX","hsa-miR-548ba",-12.44,5276,5320,0.999641658297435
"ENST00000372919","P20073","ANXA7","hsa-miR-548ba",-13.3,144,164,0.999641658297435
"ENST00000372921","P20073","ANXA7","hsa-miR-548ba",-13.3,144,164,0.999641658297435
"ENST00000373331","Q96T49","PPP1R16B","hsa-let-7b-5p",-16.52,3189,3218,0.999641658297435
"ENST00000376233","Q6P9A3","ZNF549","hsa-miR-548ba",-9.8,373,411,0.999641658297435
"ENST00000377670","Q9Y2N7","HIF3A","hsa-miR-548ba",-9.42,2610,2658,0.999641658297435
"ENST00000378616","P51811","XK","hsa-miR-548ba",-10.4,2093,2115,0.999641658297435
"ENST00000380633","P62328","TMSB4X","hsa-miR-548ba",-9.7,26,49,0.999641658297435
"ENST00000381280","Q9H4F8","SMOC1","hsa-let-7b-5p",-14.94,1303,1328,0.999641658297435
"ENST00000394767","J9JIF5","CXXC4","hsa-miR-548ba",-10.8,637,655,0.999641658297435
"ENST00000397056","P35367","HRH1","hsa-let-7b-5p",-17.17,2190,2234,0.999641658297435
"ENST00000398692","Q9BWF3","RBM4","hsa-miR-548ba",-11.3,94,113,0.999641658297435
"ENST00000402681","F8WCZ6","C1S","hsa-miR-548ba",-10.2,32,52,0.999641658297435
"ENST00000402921","Q01740","FMO1","hsa-miR-548ba",-10.91,31,78,0.999641658297435
"ENST00000405581","E7EQN4","NRXN1","hsa-miR-548ba",-9.3,1239,1257,0.999641658297435
"ENST00000408993","Q9BWF3","RBM4","hsa-miR-548ba",-11.3,122,141,0.999641658297435
"ENST00000409406","Q9BWF3","RBM4","hsa-miR-548ba",-11.3,122,141,0.999641658297435
"ENST00000410059","Q8N608","DPP10","hsa-miR-548ba",-10.7,2505,2530,0.999641658297435
"ENST00000412278",NA,"RBM14-RBM4","hsa-miR-548ba",-11.3,122,141,0.999641658297435
"ENST00000416691","Q9Y2V7","COG6","hsa-miR-548ba",-11.21,1472,1500,0.999641658297435
"ENST00000417238","F8WBT2","WDPCP","hsa-miR-548ba",-12.44,1213,1252,0.999641658297435
"ENST00000419593","F2Z2A3","SYS1-DBNDD2","hsa-miR-548ba",-12.26,225,245,0.999641658297435
"ENST00000420358","O75717","WDHD1","hsa-let-7b-5p",-16.3,186,205,0.999641658297435
"ENST00000420661","Q5RHP9","ERICH3","hsa-miR-548ba",-8.9,146,164,0.999641658297435
"ENST00000423061","A0A0C4DG40","SYNE1","hsa-miR-548ba",-13.9,476,505,0.999641658297435
"ENST00000423424","Q53EP0","FNDC3B","hsa-miR-548ba",-10.3,15,35,0.999641658297435
"ENST00000431010","P35367","HRH1","hsa-let-7b-5p",-17.17,2190,2234,0.999641658297435
"ENST00000433677","Q9BRF8","CPPED1","hsa-miR-548ba",-12.93,593,627,0.999641658297435
"ENST00000436636","Q9UKE5","TNIK","hsa-let-7b-5p",-19.81,1457,1483,0.999641658297435
"ENST00000436636","Q9UKE5","TNIK","hsa-miR-548ba",-15.11,1223,1268,0.999641658297435
"ENST00000437457","A0A0A6YYB3","ARHGEF9","hsa-let-7b-5p",-16.9,1192,1237,0.999641658297435
"ENST00000440223","F8WFB7","UBE2F","hsa-miR-548ba",-16.83,99,132,0.999641658297435
"ENST00000444746","Q5UIP0","RIF1","hsa-miR-548ba",-11.2,2088,2116,0.999641658297435
"ENST00000445593","Q86VI4","LAPTM4B","hsa-miR-548ba",-10.8,978,996,0.999641658297435
"ENST00000452133","F2Z2A3","SYS1-DBNDD2","hsa-miR-548ba",-12.26,225,245,0.999641658297435
"ENST00000458187","H3BUS1","SYS1-DBNDD2","hsa-miR-548ba",-12.26,230,250,0.999641658297435
"ENST00000459784",NA,"IFI44L","hsa-miR-548ba",-10.28,49,111,0.999641658297435
"ENST00000468904","C9JYI8","XKRX","hsa-miR-548ba",-10.79,423,465,0.999641658297435
"ENST00000470455","F8WDJ3","ATP6V1A","hsa-let-7b-5p",-17,922,957,0.999641658297435
"ENST00000474861","E9PLX3","LAMTOR5","hsa-miR-548ba",-16.2,18,63,0.999641658297435
"ENST00000483260","E9PLX3","LAMTOR5","hsa-miR-548ba",-16.2,18,63,0.999641658297435
"ENST00000491040","D6RDV2","UQCC1","hsa-let-7b-5p",-16.8,585,610,0.999641658297435
"ENST00000498165","Q5SGD2","PPM1L","hsa-miR-548ba",-13.51,1641,1685,0.999641658297435
"ENST00000499023","O43660","PLRG1","hsa-miR-548ba",-13.76,634,675,0.999641658297435
"ENST00000500635","A0A0A6YYI9","RBM14-RBM4","hsa-miR-548ba",-11.3,94,113,0.999641658297435
"ENST00000504108","Q96PQ7","KLHL5","hsa-let-7b-5p",-13.6,875,896,0.999641658297435
"ENST00000510778","D6RCM1","RBPJ","hsa-miR-548ba",-12.81,253,298,0.999641658297435
"ENST00000521545","Q86VI4","LAPTM4B","hsa-miR-548ba",-10.8,978,996,0.999641658297435
"ENST00000530235","Q9BWF3","RBM4","hsa-miR-548ba",-11.3,94,113,0.999641658297435
"ENST00000536493","O43315","AQP9","hsa-miR-548ba",-12.7,873,917,0.999641658297435
"ENST00000536635","P20273","CD22","hsa-let-7b-5p",-17.7,414,447,0.999641658297435
"ENST00000539504","Q5JV20","SYNE1","hsa-miR-548ba",-13.9,476,505,0.999641658297435
"ENST00000539966","Q9Y6E0","STK24","hsa-miR-548ba",-11.46,3382,3415,0.999641658297435
"ENST00000547095","F8VZV6","MON2","hsa-let-7b-5p",-16.45,1752,1789,0.999641658297435
"ENST00000549505","F8VPW9","RAB5B","hsa-let-7b-5p",-20.5,1663,1692,0.999641658297435
"ENST00000553116","P61020","RAB5B","hsa-let-7b-5p",-20.5,1389,1418,0.999641658297435
"ENST00000553488","D3VVP3","ATXN3","hsa-miR-548ba",-13.7,189,222,0.999641658297435
"ENST00000564491","H3BP89","SCAMP5","hsa-miR-548ba",-10.6,22,40,0.999641658297435
"ENST00000575333","O75674","TOM1L1","hsa-miR-548ba",-10.1,517,536,0.999641658297435
"ENST00000582183","J3QLE2","MAP2K4","hsa-let-7b-5p",-16.53,100,135,0.999641658297435
"ENST00000586825","K7EPA6","TXNL4A","hsa-miR-548ba",-11.82,131,170,0.999641658297435
"ENST00000586995","Q6N017","ABCA5","hsa-miR-548ba",-9.9,1075,1093,0.999641658297435
"ENST00000591234","K7EKS9","ABCA5","hsa-miR-548ba",-9.9,1059,1077,0.999641658297435
"ENST00000602305","J3QLE2","MAP2K4","hsa-let-7b-5p",-16.53,100,135,0.999641658297435
"ENST00000602318","O43504","LAMTOR5","hsa-miR-548ba",-16.2,18,63,0.999641658297435
"ENST00000602537","R4GN68","MAP2K4","hsa-let-7b-5p",-16.53,287,322,0.999641658297435
"ENST00000602811","R4GN68","MAP2K4","hsa-let-7b-5p",-16.53,287,322,0.999641658297435
"ENST00000602858","R4GMU8","LAMTOR5","hsa-miR-548ba",-16.2,18,63,0.999641658297435
"ENST00000610189","Q9HCN4","GPN1","hsa-let-7b-5p",-17.17,912,945,0.999641658297435
"ENST00000610966","Q8N4V2","SVOP","hsa-miR-548ba",-12,2075,2093,0.999641658297435
"ENST00000617670","Q01740","FMO1","hsa-miR-548ba",-10.91,31,78,0.999641658297435
"ENST00000620646","A0A087X2C3","RAP2C","hsa-miR-548ba",-10.26,1149,1179,0.999641658297435
"ENST00000621764","A0A0G2JN53","AC026369.1","hsa-miR-548ba",-13,922,970,0.999641658297435
"ENST00000624538","A0A096LNY0","ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000632372","A0A0J9YY54","TEX13D","hsa-miR-548ba",-13.11,1016,1063,0.999641658297435
"ENST00000635795",NA,"DCX","hsa-miR-548ba",-12.44,5248,5292,0.999641658297435
"ENST00000635828",NA,"CDKL5","hsa-miR-548ba",-10.5,296,325,0.999641658297435
"ENST00000636035","A8K340","DCX","hsa-miR-548ba",-12.44,5248,5292,0.999641658297435
"ENST00000636048",NA,"ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000636930",NA,"ARID1B","hsa-let-7b-5p",-21.79,2013,2048,0.999641658297435
"ENST00000637040",NA,"ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000637417",NA,"ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000637520",NA,"ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000637557",NA,"ARHGEF9","hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000639092",NA,NA,"hsa-let-7b-5p",-16.9,2411,2456,0.999641658297435
"ENST00000639169",NA,NA,"hsa-miR-548ba",-10.2,1097,1114,0.999641658297435
"ENST00000639689",NA,NA,"hsa-miR-548ba",-10.2,1329,1346,0.999641658297435
"ENST00000641258",NA,NA,"hsa-miR-548ba",-11.3,2607,2637,0.999641658297435
"ENST00000641626",NA,NA,"hsa-miR-548ba",-13.4,2423,2455,0.999641658297435
"ENST00000643536",NA,NA,"hsa-miR-548ba",-11.7,2868,2889,0.999641658297435
"ENST00000647938",NA,NA,"hsa-let-7b-5p",-21.79,2013,2048,0.999641658297435
"ENST00000671741",NA,NA,"hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000671907",NA,NA,"hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000672194",NA,NA,"hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000672513",NA,NA,"hsa-let-7b-5p",-16.9,962,1007,0.999641658297435
"ENST00000673477",NA,NA,"hsa-let-7b-5p",-17.8,1357,1376,0.999641658297435
"ENST00000675030",NA,NA,"hsa-let-7b-5p",-17.5,3715,3743,0.999641658297435
"ENST00000675235",NA,NA,"hsa-miR-548ba",-9.3,3065,3083,0.999641658297435
"ENST00000676563",NA,NA,"hsa-miR-548ba",-13.3,2810,2835,0.999641658297435
"ENST00000679469",NA,NA,"hsa-miR-548ba",-12.81,509,554,0.999641658297435
"ENST00000679698",NA,NA,"hsa-miR-548ba",-12.81,715,760,0.999641658297435
"ENST00000679998",NA,NA,"hsa-miR-548ba",-10.28,49,111,0.999641658297435
"ENST00000680110",NA,NA,"hsa-miR-548ba",-10.28,49,111,0.999641658297435
"ENST00000680295",NA,NA,"hsa-miR-548ba",-10.28,49,111,0.999641658297435
"ENST00000680476",NA,NA,"hsa-miR-548ba",-12.44,5276,5320,0.999641658297435
"ENST00000681025",NA,NA,"hsa-miR-548ba",-12.81,664,709,0.999641658297435
"ENST00000681506",NA,NA,"hsa-miR-548ba",-12.81,715,760,0.999641658297435
"ENST00000681613",NA,NA,"hsa-miR-548ba",-10.28,49,111,0.999641658297435
"ENST00000681679",NA,NA,"hsa-miR-548ba",-12.81,253,298,0.999641658297435
"ENST00000682243",NA,NA,"hsa-miR-548ba",-13.2,1470,1501,0.999641658297435
"ENST00000683173",NA,NA,"hsa-miR-548ba",-13.2,1445,1476,0.999641658297435
"ENST00000683462",NA,NA,"hsa-miR-548ba",-13.2,296,327,0.999641658297435
"ENST00000683706",NA,NA,"hsa-miR-548ba",-13.2,296,327,0.999641658297435
"ENST00000683916",NA,NA,"hsa-miR-548ba",-13.2,296,327,0.999641658297435
"ENST00000684289",NA,NA,"hsa-miR-548ba",-13.2,999,1030,0.999641658297435
"ENST00000684386",NA,NA,"hsa-miR-548ba",-13.2,538,569,0.999641658297435
"ENST00000318010","Q8TET4","GANC","hsa-miR-548ba",-10.8,79,98,0.99964160064867
"ENST00000361121","A0A0A0MRI1","GPALPP1","hsa-miR-548ba",-11.17,1316,1357,0.999640849729222
"ENST00000379151","Q8IXQ4","GPALPP1","hsa-miR-548ba",-11.17,1316,1357,0.999640849729222
"ENST00000270225","Q9UBE0","SAE1","hsa-let-7b-3p",-14.6,1073,1119,0.999639193243778
"ENST00000327367","P84022","SMAD3","hsa-let-7b-5p",-17.55,3871,3920,0.999639193243778
"ENST00000357115","P50851","LRBA","hsa-let-7b-3p",-12.26,957,998,0.999639193243778
"ENST00000366553","P26374","CHML","hsa-let-7b-3p",-14.13,4136,4195,0.999639193243778
"ENST00000374566","Q9H329","EPB41L4B","hsa-let-7b-3p",-13.21,1947,1990,0.999639193243778
"ENST00000377252","Q6UX71","PLXDC2","hsa-let-7b-3p",-14.85,7838,7883,0.999639193243778
"ENST00000413379","Q9UBE0","SAE1","hsa-let-7b-3p",-14.6,999,1045,0.999639193243778
"ENST00000432615","F8WE06","NCAPG2","hsa-let-7b-3p",-14.3,2149,2193,0.999639193243778
"ENST00000502297","H0Y9Z7","KIF13A","hsa-let-7b-3p",-13.94,1229,1247,0.999639193243778
"ENST00000510413","P50851","LRBA","hsa-let-7b-3p",-12.26,957,998,0.999639193243778
"ENST00000515149","D6RIG7","ATR","hsa-let-7b-5p",-16.35,2029,2071,0.999639193243778
"ENST00000521381","P27986","PIK3R1","hsa-let-7b-3p",-11.24,3436,3485,0.999639193243778
"ENST00000554236","G3V559","ATP6V1D","hsa-let-7b-3p",-14.8,174,216,0.999639193243778
"ENST00000617246","Q93052","LPP","hsa-let-7b-3p",-12.51,12532,12594,0.999639193243778
"ENST00000618621","A0A087WZF1","LPP","hsa-let-7b-3p",-12.51,12532,12594,0.999639193243778
"ENST00000640853",NA,NA,"hsa-let-7b-3p",-12.51,12532,12594,0.999639193243778
"ENST00000643085",NA,NA,"hsa-let-7b-5p",-13.4,1382,1458,0.999639193243778
"ENST00000651943",NA,NA,"hsa-let-7b-3p",-12.26,957,998,0.999639193243778
"ENST00000679624",NA,NA,"hsa-let-7b-5p",-17.55,3871,3920,0.999639193243778
"ENST00000681239",NA,NA,"hsa-let-7b-5p",-17.55,3871,3920,0.999639193243778
"ENST00000682095",NA,NA,"hsa-let-7b-3p",-15.59,2509,2567,0.999639193243778
"ENST00000311841","F8VW03","RP11-446E24.4","hsa-miR-548ba",-11.4,1753,1767,0.999638811665306
"ENST00000331343","Q9Y2G5","POFUT2","hsa-miR-548ba",-12.24,3399,3419,0.999638811665306
"ENST00000480336",NA,"RP1-27O5.3","hsa-miR-548ba",-11.1,1724,1737,0.999638811665306
"ENST00000612472","S6FW71","POFUT2","hsa-miR-548ba",-12.24,2172,2192,0.999638811665306
"ENST00000615172","A0A0C4DGX7","POFUT2","hsa-miR-548ba",-12.24,1783,1803,0.999638811665306
"ENST00000259119","P12757","SKIL","hsa-let-7b-5p",-14.3,3813,3832,0.999638139034823
"ENST00000261574","O00410","IPO5","hsa-let-7b-5p",-18.63,2060,2114,0.999638139034823
"ENST00000265843","Q8NEV8","EXPH5","hsa-let-7b-3p",-14.14,3627,3670,0.999638139034823
"ENST00000281127","Q9HDB5","NRXN3","hsa-let-7b-3p",-17.26,5672,5708,0.999638139034823
