miRNA-transcript	Coordinates	numberTargets
hsa-let-7b-3p#ENST00000337343.9	6853-6859,6980-6987	2
hsa-miR-548ba#ENST00000644347.1	376-383,4113-4119	2
hsa-miR-548ba#ENST00000682094.1	3537-3543,3391-3397	2
hsa-miR-548ba#ENST00000334528.13	7815-7821,4464-4471	2
hsa-let-7b-5p#ENST00000680480.1	16798-16804,10081-10088	2
hsa-let-7b-3p#ENST00000262160.11	10946-10955,25136-25143	2
hsa-miR-548ba#ENST00000607673.2	943-950,2484-2490	2
hsa-miR-548ba#ENST00000679159.1	707-713,841-847	2
hsa-let-7b-5p#ENST00000618691.5	2867-2873,1200-1208	2
hsa-miR-548ba#ENST00000552677.5	952-960,963-969	2
hsa-let-7b-3p#ENST00000644641.2	1175-1182,195-201	2
hsa-let-7b-5p#ENST00000651989.2	357-365,13248-13256,9678-9684	3
hsa-miR-548ba#ENST00000328656.8	5299-5305,554-561	2
hsa-miR-548ba#ENST00000497558.5	88-95,116-122	2
hsa-let-7b-5p#ENST00000261837.12	3117-3124,7428-7436	2
hsa-miR-548ba#ENST00000310015.12	6582-6590,6597-6604	2
hsa-miR-548ba#ENST00000452556.5	1603-1611,4062-4068	2
hsa-miR-548ba#ENST00000615481.4	1008-1015,1616-1624	2
hsa-miR-548ba#ENST00000262101.10	53-59,1335-1341	2
hsa-let-7b-3p#ENST00000343796.6	1633-1640,1015-1021	2
hsa-miR-548ba#ENST00000680673.1	6213-6219,181-188	2
hsa-miR-548ba#ENST00000679426.1	2110-2116,225-233	2
hsa-miR-548ba#ENST00000406360.2	2312-2319,1362-1369	2
hsa-let-7b-3p#ENST00000307897.10	730-737,717-723	2
hsa-miR-548ba#ENST00000352511.5	6053-6060,118-124	2
hsa-miR-548ba#ENST00000409785.9	5991-5998,5892-5898,355-361	3
hsa-miR-548ba#ENST00000295628.4	6431-6437,1704-1710	2
hsa-miR-548ba#ENST00000640664.2	273-279,1863-1870	2
hsa-let-7b-3p#ENST00000446801.6	730-737,717-723	2
hsa-miR-548ba#ENST00000545294.5	4102-4109,6953-6959	2
hsa-miR-548ba#ENST00000394945.6	2524-2531,3025-3032	2
hsa-miR-548ba#ENST00000317995.5	4287-4295,4299-4305,2769-2776	3
hsa-let-7b-3p#ENST00000680673.1	4095-4101,627-633	2
hsa-miR-548ba#ENST00000680411.1	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000674406.1	2595-2601,4691-4705	2
hsa-let-7b-3p#ENST00000352511.5	6373-6380,5872-5879	2
hsa-miR-548ba#ENST00000392319.6	2997-3003,2059-2065	2
hsa-miR-548ba#ENST00000638128.1	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000635036.3	3798-3804,3496-3502	2
hsa-miR-548ba#ENST00000395699.5	1152-1158,5014-5020,5682-5688	3
hsa-miR-548ba#ENST00000674187.1	2595-2601,4691-4705	2
hsa-miR-548ba#ENST00000361121.6	1323-1330,1351-1357	2
hsa-miR-548ba#ENST00000679430.1	2124-2130,242-257	2
hsa-miR-548ba#ENST00000395753.6	3276-3283,3296-3302	2
hsa-miR-548ba#ENST00000246024.7	570-577,3366-3373	2
hsa-miR-548ba#ENST00000636471.1	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000395246.5	1335-1341,1318-1325,2584-2590	3
hsa-miR-548ba#ENST00000367162.8	1117-1124,1430-1437	2
hsa-miR-548ba#ENST00000379177.5	300-307,2060-2067	2
hsa-let-7b-5p#ENST00000649457.1	6054-6061,3037-3044,562-568	3
hsa-miR-548ba#ENST00000648388.1	1176-1183,1164-1172	2
hsa-miR-548ba#ENST00000432079.5	124-131,2344-2350	2
hsa-let-7b-5p#ENST00000418559.6	9253-9260,15970-15976	2
hsa-miR-548ba#ENST00000521545.7	968-974,990-996	2
hsa-let-7b-3p#ENST00000311380.8	816-822,829-837	2
hsa-miR-548ba#ENST00000368090.5	2140-2147,4302-4308,142-148,1246-1253	4
hsa-let-7b-5p#ENST00000678878.1	4446-4467,609-617	2
hsa-miR-548ba#ENST00000454189.6	2532-2539,2419-2425	2
hsa-miR-548ba#ENST00000274276.8	517-523,1903-1910	2
hsa-miR-548ba#ENST00000679469.1	548-554,1003-1010	2
hsa-miR-548ba#ENST00000537989.5	2516-2524,5697-5704	2
hsa-let-7b-3p#ENST00000380615.8	2165-2171,4999-5006	2
hsa-miR-548ba#ENST00000573360.5	67-74,2129-2135	2
hsa-miR-548ba#ENST00000398938.7	5299-5305,554-561	2
hsa-miR-548ba#ENST00000679878.1	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000420353.7	4126-4132,2652-2658	2
hsa-miR-548ba#ENST00000541875.1	725-732,987-995,998-1004	3
hsa-miR-548ba#ENST00000498508.6	5286-5293,5328-5334,3304-3311	3
hsa-miR-548ba#ENST00000679501.2	734-741,495-502	2
hsa-miR-548ba#ENST00000636035.2	4204-4210,5286-5292	2
hsa-miR-548ba#ENST00000646869.1	1194-1200,197-203	2
hsa-miR-548ba#ENST00000190611.9	1182-1188,3381-3387	2
hsa-miR-548ba#ENST00000370857.7	388-395,860-867	2
hsa-miR-548ba#ENST00000490969.5	55-62,42-50	2
hsa-miR-548ba#ENST00000680476.1	4232-4238,5314-5320	2
hsa-let-7b-5p#ENST00000487099.7	4749-4756,387-395	2
hsa-miR-548ba#ENST00000634325.2	1145-1151,1455-1462,1438-1446	3
hsa-let-7b-3p#ENST00000394464.7	1633-1640,1015-1021	2
hsa-let-7b-3p#ENST00000254742.6	251-257,463-469	2
hsa-let-7b-3p#ENST00000304698.10	1049-1056,2627-2635	2
hsa-miR-548ba#ENST00000649796.2	5932-5938,6228-6235	2
hsa-miR-548ba#ENST00000425128.6	948-955,963-970,2367-2374	3
hsa-miR-548ba#ENST00000423947.7	2110-2116,225-233	2
hsa-miR-548ba#ENST00000611864.4	11007-11013,1844-1856	2
hsa-miR-548ba#ENST00000441606.2	2110-2116,225-233	2
hsa-miR-548ba#ENST00000354646.6	515-522,1667-1673	2
hsa-miR-548ba#ENST00000231512.5	218-224,933-940	2
hsa-miR-548ba#ENST00000521451.5	1322-1328,497-503	2
hsa-let-7b-3p#ENST00000307179.9	3827-3837,1429-1436	2
hsa-miR-548ba#ENST00000341893.8	53-61,341-347,2098-2105	3
hsa-miR-548ba#ENST00000674360.1	2595-2601,4691-4705	2
hsa-miR-548ba#ENST00000440392.3	2104-2111,2923-2931	2
hsa-miR-548ba#ENST00000510089.5	4889-4896,1342-1348	2
hsa-miR-548ba#ENST00000674262.1	2595-2601,4691-4705	2
hsa-miR-548ba#ENST00000262878.5	197-203,1965-1972	2
hsa-let-7b-5p#ENST00000341071.11	634-641,926-934	2
hsa-let-7b-5p#ENST00000537916.2	3523-3530,3510-3518	2
hsa-miR-548ba#ENST00000421587.8	376-383,4113-4119	2
hsa-let-7b-3p#ENST00000359933.6	3564-3571,1214-1220	2
hsa-miR-548ba#ENST00000638007.1	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000367161.7	1117-1124,1430-1437	2
hsa-let-7b-5p#ENST00000255784.6	4307-4313,6244-6250	2
hsa-let-7b-5p#ENST00000409226.5	84-90,251-257	2
hsa-miR-548ba#ENST00000296702.9	734-741,495-502	2
hsa-miR-548ba#ENST00000465474.5	401-407,1051-1058	2
hsa-let-7b-5p#ENST00000355238.11	4446-4467,609-617	2
hsa-miR-548ba#ENST00000405452.3	1466-1472,1052-1059	2
hsa-let-7b-5p#ENST00000350908.9	1509-1515,1994-2000,3086-3092	3
hsa-miR-548ba#ENST00000262919.10	1696-1703,3328-3334	2
hsa-miR-548ba#ENST00000321945.12	2884-2892,2873-2881	2
hsa-miR-548ba#ENST00000395769.6	713-719,668-675	2
hsa-let-7b-5p#ENST00000632421.1	1474-1481,2581-2587	2
hsa-let-7b-3p#ENST00000678714.1	4805-4811,6323-6329	2
hsa-miR-548ba#ENST00000271751.10	4100-4106,1559-1566	2
hsa-miR-548ba#ENST00000645033.1	3023-3030,1255-1261	2
hsa-miR-548ba#ENST00000680066.1	1859-1865,310-316	2
hsa-miR-548ba#ENST00000305997.8	5668-5674,660-666	2
hsa-let-7b-5p#ENST00000445816.5	1742-1749,1062-1068	2
hsa-miR-548ba#ENST00000442697.7	1842-1848,1610-1617	2
hsa-miR-548ba#ENST00000400454.6	1980-1987,55-63	2
hsa-let-7b-3p#ENST00000415493.7	7373-7379,7364-7371,2794-2801	3
hsa-let-7b-3p#ENST00000282296.10	1161-1169,1866-1872	2
hsa-miR-548ba#ENST00000255784.6	5890-5896,5907-5914	2
hsa-miR-548ba#ENST00000648338.1	2060-2067,4696-4704,2866-2873	3
hsa-let-7b-3p#ENST00000515425.6	13500-13507,10402-10409	2
hsa-miR-548ba#ENST00000397119.8	1910-1917,1923-1930	2
hsa-let-7b-3p#ENST00000264183.9	1041-1047,477-483	2
hsa-miR-548ba#ENST00000620862.4	2917-2930,2534-2541	2
hsa-miR-548ba#ENST00000681328.1	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000563237.3	1188-1195,1376-1382	2
hsa-let-7b-3p#ENST00000344936.7	816-822,829-837	2
hsa-miR-548ba#ENST00000610361.1	2089-2095,1460-1466,1939-1945	3
hsa-let-7b-5p#ENST00000681659.1	125-132,2210-2216	2
hsa-miR-548ba#ENST00000395386.7	1745-1752,1676-1683	2
hsa-miR-548ba#ENST00000282753.6	1748-1754,1006-1013	2
hsa-let-7b-5p#ENST00000355086.8	1780-1787,14488-14494	2
hsa-miR-548ba#ENST00000675354.1	376-383,4113-4119	2
hsa-miR-548ba#ENST00000415783.6	204-210,212-219,584-590	3
hsa-let-7b-5p#ENST00000264065.12	7806-7813,14523-14529	2
hsa-miR-548ba#ENST00000380058.7	1194-1200,3813-3820	2
hsa-miR-548ba#ENST00000676736.1	707-713,841-847	2
hsa-miR-548ba#ENST00000621208.4	3194-3201,3178-3184	2
hsa-miR-548ba#ENST00000395675.7	2762-2769,3717-3724	2
hsa-miR-548ba#ENST00000320560.13	2110-2116,225-233	2
hsa-let-7b-3p#ENST00000369466.9	1083-1089,303-309	2
hsa-miR-548ba#ENST00000368564.7	512-518,2951-2958	2
hsa-miR-548ba#ENST00000305494.6	2111-2118,1880-1887	2
hsa-miR-548ba#ENST00000392485.2	773-780,1464-1470	2
hsa-let-7b-5p#ENST00000240093.8	3523-3530,3510-3518	2
hsa-miR-548ba#ENST00000511426.5	687-694,570-576	2
hsa-miR-548ba#ENST00000377110.9	5413-5419,5273-5281,5719-5726	3
hsa-miR-548ba#ENST00000672279.1	2293-2300,36-44	2
hsa-miR-548ba#ENST00000409947.5	3537-3543,3391-3397	2
hsa-miR-548ba#ENST00000650632.1	236-243,2686-2699	2
hsa-miR-548ba#ENST00000523111.7	2070-2076,2610-2617	2
hsa-miR-548ba#ENST00000568808.5	2274-2280,2286-2292	2
hsa-let-7b-3p#ENST00000349213.7	1041-1047,477-483	2
hsa-let-7b-3p#ENST00000398510.7	287-294,2249-2256	2
hsa-let-7b-3p#ENST00000308275.8	2387-2393,8364-8370	2
hsa-miR-548ba#ENST00000644459.1	3513-3519,3493-3500	2
hsa-miR-548ba#ENST00000355622.8	2130-2136,8185-8192	2
hsa-miR-548ba#ENST00000395390.6	1745-1752,1676-1683	2
hsa-miR-548ba#ENST00000679930.1	1952-1959,1940-1948	2
hsa-let-7b-5p#ENST00000676637.1	4446-4467,609-617	2
hsa-let-7b-3p#ENST00000275034.5	4508-4515,2073-2080	2
hsa-miR-548ba#ENST00000489294.2	4102-4109,6953-6959	2
hsa-miR-548ba#ENST00000536441.7	1221-1228,4805-4811	2
hsa-miR-548ba#ENST00000677713.2	5413-5419,5273-5281,5719-5726	3
hsa-miR-548ba#ENST00000376896.8	2488-2494,609-617	2
hsa-miR-548ba#ENST00000296575.8	1502-1509,5378-5384	2
hsa-miR-548ba#ENST00000617690.2	1504-1511,1029-1036,3591-3607	3
hsa-miR-548ba#ENST00000259008.7	2508-2515,2820-2827	2
hsa-miR-548ba#ENST00000266544.10	1979-1986,3916-3922,3187-3193	3
hsa-miR-548ba#ENST00000644250.2	1141-1148,197-203	2
hsa-miR-548ba#ENST00000624640.1	1378-1384,1190-1197	2
hsa-let-7b-3p#ENST00000261037.7	1872-1878,1306-1312	2
hsa-miR-548ba#ENST00000651222.2	6970-6977,3146-3152	2
