transcript	miRNAs	numberMiRNAs
ENST00000239032.4	hsa-miR-548ba	1
ENST00000634360.1	hsa-let-7b-5p	1
ENST00000683604.1	hsa-miR-548ba	1
ENST00000445902.3	hsa-let-7b-5p	1
ENST00000646299.1	hsa-miR-548ba	1
ENST00000683581.1	hsa-miR-548ba	1
ENST00000299727.5	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000314088.6	hsa-miR-548ba	1
ENST00000354719.10	hsa-let-7b-3p	1
ENST00000373100.7	hsa-miR-548ba	1
ENST00000265428.4	hsa-miR-548ba	1
ENST00000264864.8	hsa-let-7b-3p	1
ENST00000641186.1	hsa-let-7b-5p	1
ENST00000318282.9	hsa-let-7b-3p	1
ENST00000465506.5	hsa-miR-548ba	1
ENST00000649876.1	hsa-miR-548ba	1
ENST00000675631.1	hsa-miR-548ba	1
ENST00000555443.5	hsa-let-7b-3p	1
ENST00000672970.1	hsa-miR-548ba	1
ENST00000340635.11	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000415220.6	hsa-miR-548ba	1
ENST00000647500.1	hsa-miR-548ba	1
ENST00000627814.3	hsa-let-7b-3p	1
ENST00000391878.6	hsa-let-7b-3p	1
ENST00000523241.6	hsa-miR-548ba	1
ENST00000374481.7	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000674938.1	hsa-let-7b-5p	1
ENST00000512560.5	hsa-miR-548ba	1
ENST00000622479.4	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000310455.4	hsa-miR-548ba	1
ENST00000414580.2	hsa-let-7b-3p	1
ENST00000681916.1	hsa-miR-548ba	1
ENST00000272252.10	hsa-let-7b-3p	1
ENST00000410031.5	hsa-let-7b-3p	1
ENST00000419687.6	hsa-miR-548ba	1
ENST00000315190.4	hsa-let-7b-3p	1
ENST00000359052.8	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000611944.1	hsa-let-7b-3p	1
ENST00000355774.7	hsa-miR-548ba	1
ENST00000369093.6	hsa-let-7b-3p	1
ENST00000269142.10	hsa-miR-548ba	1
ENST00000358359.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000612130.4	hsa-miR-548ba	1
ENST00000683483.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000648298.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000307602.9	hsa-let-7b-3p	1
ENST00000542643.6	hsa-let-7b-3p	1
ENST00000290855.11	hsa-let-7b-3p	1
ENST00000458005.2	hsa-miR-548ba	1
ENST00000533213.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000368045.3	hsa-miR-548ba	1
ENST00000367481.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000643185.2	hsa-miR-548ba	1
ENST00000315554.13	hsa-miR-548ba	1
ENST00000625672.2	hsa-let-7b-3p	1
ENST00000418185.6	hsa-let-7b-3p	1
ENST00000674916.1	hsa-miR-548ba	1
ENST00000584379.6	hsa-miR-548ba	1
ENST00000373766.9	hsa-let-7b-3p	1
ENST00000518979.5	hsa-miR-548ba	1
ENST00000297994.4	hsa-miR-548ba	1
ENST00000468886.5	hsa-let-7b-3p	1
ENST00000548852.5	hsa-miR-548ba	1
ENST00000398204.8	hsa-miR-548ba	1
ENST00000273258.4	hsa-miR-548ba	1
ENST00000361320.5	hsa-miR-548ba	1
ENST00000302219.10	hsa-let-7b-5p	1
ENST00000249822.9	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000680823.1	hsa-miR-548ba	1
ENST00000307859.4	hsa-let-7b-3p	1
ENST00000647811.1	hsa-let-7b-3p	1
ENST00000265361.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000377453.9	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000379550.5	hsa-let-7b-3p	1
ENST00000514915.5	hsa-miR-548ba	1
ENST00000638229.1	hsa-miR-548ba	1
ENST00000264668.6	hsa-miR-548ba	1
ENST00000307428.7	hsa-miR-548ba	1
ENST00000441058.2	hsa-let-7b-5p	1
ENST00000332397.6	hsa-miR-548ba	1
ENST00000620391.4	hsa-miR-548ba	1
ENST00000678073.1	hsa-let-7b-3p	1
ENST00000358746.7	hsa-miR-548ba	1
ENST00000682413.1	hsa-miR-548ba	1
ENST00000549749.1	hsa-let-7b-3p	1
ENST00000646740.1	hsa-miR-548ba	1
ENST00000354250.7	hsa-miR-548ba	1
ENST00000513920.5	hsa-miR-548ba	1
ENST00000267890.11	hsa-let-7b-3p	1
ENST00000378426.5	hsa-let-7b-3p	1
ENST00000361577.7	hsa-miR-548ba	1
ENST00000677101.1	hsa-miR-548ba	1
ENST00000502294.5	hsa-miR-548ba	1
ENST00000350896.3	hsa-miR-548ba	1
ENST00000602318.6	hsa-miR-548ba	1
ENST00000617047.1	hsa-let-7b-3p	1
ENST00000251081.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000261435.11	hsa-let-7b-3p	1
ENST00000333891.14	hsa-miR-548ba	1
ENST00000394904.9	hsa-miR-548ba	1
ENST00000260604.8	hsa-miR-548ba	1
ENST00000473314.6	hsa-let-7b-3p	1
ENST00000538183.7	hsa-miR-548ba	1
ENST00000617887.4	hsa-let-7b-3p	1
ENST00000682822.1	hsa-miR-548ba	1
ENST00000340866.10	hsa-let-7b-3p	1
ENST00000417955.5	hsa-let-7b-5p	1
ENST00000622768.5	hsa-let-7b-3p	1
ENST00000448246.1	hsa-let-7b-3p	1
ENST00000520793.5	hsa-miR-548ba	1
ENST00000542447.6	hsa-miR-548ba	1
ENST00000643065.1	hsa-let-7b-3p	1
ENST00000359265.8	hsa-miR-548ba	1
ENST00000296417.6	hsa-miR-548ba	1
ENST00000282282.4	hsa-let-7b-5p	1
ENST00000633071.1	hsa-miR-548ba	1
ENST00000604900.5	hsa-miR-548ba	1
ENST00000396418.7	hsa-let-7b-3p	1
ENST00000644545.1	hsa-miR-548ba	1
ENST00000469406.6	hsa-miR-548ba	1
ENST00000425043.5	hsa-let-7b-5p	1
ENST00000509505.5	hsa-let-7b-5p	1
ENST00000542016.6	hsa-miR-548ba	1
ENST00000321764.4	hsa-let-7b-3p	1
ENST00000422329.1	hsa-miR-548ba	1
ENST00000307712.11	hsa-miR-548ba	1
ENST00000376962.10	hsa-let-7b-3p	1
ENST00000621697.2	hsa-let-7b-5p	1
ENST00000383763.6	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000642017.2	hsa-let-7b-3p	1
ENST00000672245.1	hsa-miR-548ba	1
ENST00000571680.1	hsa-miR-548ba	1
ENST00000360938.8	hsa-let-7b-3p	1
ENST00000442009.6	hsa-miR-548ba	1
ENST00000288368.5	hsa-miR-548ba	1
ENST00000396040.6	hsa-miR-548ba	1
ENST00000683696.1	hsa-miR-548ba	1
ENST00000497876.5	hsa-let-7b-5p	1
ENST00000330687.8	hsa-miR-548ba	1
ENST00000475668.6	hsa-miR-548ba	1
ENST00000397799.2	hsa-miR-548ba	1
ENST00000262844.10	hsa-miR-548ba	1
ENST00000428468.6	hsa-miR-548ba	1
ENST00000370554.5	hsa-miR-548ba	1
ENST00000650953.2	hsa-let-7b-3p	1
ENST00000394806.6	hsa-miR-548ba	1
ENST00000681168.1	hsa-let-7b-3p	1
ENST00000347606.8	hsa-miR-548ba	1
ENST00000519961.5	hsa-miR-548ba	1
ENST00000535523.5	hsa-miR-548ba	1
ENST00000261837.12	hsa-let-7b-5p	1
ENST00000617865.4	hsa-miR-548ba	1
ENST00000682800.1	hsa-miR-548ba	1
ENST00000677843.1	hsa-let-7b-3p	1
ENST00000349703.7	hsa-let-7b-5p	1
ENST00000592764.5	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000652974.1	hsa-miR-548ba	1
ENST00000439640.5	hsa-let-7b-3p	1
ENST00000396827.3	hsa-let-7b-3p	1
ENST00000329516.8	hsa-let-7b-5p	1
ENST00000402627.5	hsa-miR-548ba	1
ENST00000502704.2	hsa-let-7b-3p	1
ENST00000367187.7	hsa-miR-548ba	1
ENST00000445132.3	hsa-miR-548ba	1
ENST00000396373.9	hsa-miR-548ba	1
ENST00000616870.4	hsa-let-7b-3p	1
ENST00000264170.9	hsa-miR-548ba	1
ENST00000409406.1	hsa-miR-548ba	1
ENST00000618914.4	hsa-miR-548ba	1
ENST00000398417.6	hsa-let-7b-3p	1
ENST00000297933.11	hsa-miR-548ba	1
ENST00000681653.1	hsa-miR-548ba	1
ENST00000618891.1	hsa-let-7b-3p	1
ENST00000265709.13	hsa-miR-548ba	1
ENST00000355610.9	hsa-let-7b-3p	1
ENST00000375645.8	hsa-miR-548ba	1
ENST00000320301.11	hsa-miR-548ba	1
ENST00000393304.5	hsa-miR-548ba	1
ENST00000570965.5	hsa-miR-548ba	1
ENST00000624406.3	hsa-let-7b-3p	1
ENST00000613725.4	hsa-miR-548ba	1
ENST00000395325.7	hsa-miR-548ba	1
ENST00000515669.5	hsa-let-7b-3p	1
ENST00000681146.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000373094.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000260408.8	hsa-miR-548ba	1
ENST00000359576.9	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000394708.7	hsa-miR-548ba	1
ENST00000555536.1	hsa-let-7b-5p	1
ENST00000611250.4	hsa-let-7b-3p	1
ENST00000388918.10	hsa-miR-548ba	1
ENST00000252575.11	hsa-miR-548ba	1
ENST00000613218.4	hsa-let-7b-3p	1
ENST00000370025.9	hsa-let-7b-5p	1
ENST00000374574.2	hsa-miR-548ba	1
ENST00000400485.6	hsa-miR-548ba	1
ENST00000201963.3	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000640360.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000373957.7	hsa-miR-548ba	1
ENST00000589328.5	hsa-miR-548ba	1
ENST00000642404.1	hsa-miR-548ba	1
ENST00000358604.7	hsa-miR-548ba	1
ENST00000355943.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000369209.8	hsa-let-7b-3p	1
ENST00000326402.9	hsa-miR-548ba	1
ENST00000396199.7	hsa-let-7b-5p	1
ENST00000396275.2	hsa-let-7b-5p	1
ENST00000508821.6	hsa-let-7b-3p	1
ENST00000376088.7	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000485595.5	hsa-let-7b-3p	1
ENST00000672125.1	hsa-miR-548ba	1
ENST00000680991.1	hsa-miR-548ba	1
ENST00000445950.2	hsa-miR-548ba	1
ENST00000325686.7	hsa-let-7b-5p	1
ENST00000399852.3	hsa-let-7b-3p	1
ENST00000556131.1	hsa-miR-548ba	1
ENST00000466095.5	hsa-miR-548ba	1
ENST00000567529.1	hsa-miR-548ba	1
ENST00000372455.4	hsa-let-7b-5p	1
ENST00000680484.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000447540.6	hsa-let-7b-3p	1
ENST00000302506.8	hsa-let-7b-5p	1
ENST00000417737.5	hsa-miR-548ba	1
ENST00000411990.6	hsa-miR-548ba	1
ENST00000262384.4	hsa-let-7b-5p	1
ENST00000278616.9	hsa-miR-548ba	1
ENST00000264428.9	hsa-let-7b-3p	1
ENST00000635381.2	hsa-let-7b-3p	1
ENST00000446923.7	hsa-miR-548ba	1
ENST00000342350.9	hsa-miR-548ba	1
ENST00000311275.11	hsa-let-7b-3p	1
ENST00000373935.4	hsa-miR-548ba	1
ENST00000514652.5	hsa-miR-548ba	1
ENST00000410026.7	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000394232.6	hsa-let-7b-3p	1
ENST00000681888.1	hsa-miR-548ba	1
ENST00000431670.7	hsa-let-7b-3p	1
ENST00000394156.7	hsa-let-7b-3p	1
ENST00000281523.8	hsa-miR-548ba	1
ENST00000520220.6	hsa-let-7b-5p	1
ENST00000358506.6	hsa-miR-548ba	1
ENST00000641742.1	hsa-miR-548ba	1
ENST00000574478.1	hsa-miR-548ba	1
ENST00000382065.8	hsa-miR-548ba	1
ENST00000371460.5	hsa-miR-548ba	1
ENST00000674555.1	hsa-let-7b-5p	1
ENST00000526737.6	hsa-let-7b-5p	1
ENST00000682150.1	hsa-miR-548ba	1
ENST00000572102.5	hsa-miR-548ba	1
ENST00000374045.5	hsa-miR-548ba	1
ENST00000273480.4	hsa-let-7b-5p	1
ENST00000641666.1	hsa-miR-548ba	1
ENST00000646424.1	hsa-let-7b-3p	1
ENST00000373428.5	hsa-miR-548ba	1
ENST00000378163.7	hsa-miR-548ba	1
ENST00000513604.5	hsa-miR-548ba	1
ENST00000359963.4	hsa-miR-548ba	1
ENST00000446393.2	hsa-miR-548ba	1
ENST00000680893.1	hsa-miR-548ba	1
ENST00000453318.6	hsa-miR-548ba	1
ENST00000683478.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000682990.1	hsa-miR-548ba	1
ENST00000374908.1	hsa-miR-548ba	1
ENST00000433207.6	hsa-let-7b-3p	1
ENST00000641159.1	hsa-miR-548ba	1
ENST00000542638.5	hsa-miR-548ba	1
ENST00000389707.8	hsa-let-7b-3p	1
ENST00000508216.5	hsa-miR-548ba	1
ENST00000290015.7	hsa-let-7b-5p	1
ENST00000366935.8	hsa-miR-548ba	1
ENST00000464839.5	hsa-miR-548ba	1
ENST00000290607.12	hsa-let-7b-5p	1
ENST00000425234.6	hsa-miR-548ba	1
ENST00000466936.5	hsa-miR-548ba	1
ENST00000427331.5	hsa-miR-548ba	1
ENST00000313486.12	hsa-miR-548ba	1
ENST00000380122.10	hsa-let-7b-5p	1
ENST00000561678.7	hsa-miR-548ba	1
ENST00000341071.11	hsa-let-7b-5p	1
ENST00000276893.10	hsa-let-7b-5p	1
ENST00000683963.1	hsa-miR-548ba	1
ENST00000234301.3	hsa-miR-548ba	1
ENST00000676630.1	hsa-let-7b-5p	1
ENST00000256433.6	hsa-miR-548ba	1
ENST00000651761.1	hsa-let-7b-3p	1
ENST00000643665.1	hsa-miR-548ba	1
ENST00000366928.10	hsa-miR-548ba	1
ENST00000524240.6	hsa-let-7b-3p	1
ENST00000297591.10	hsa-let-7b-5p	1
ENST00000377600.7	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000367885.5	hsa-miR-548ba	1
ENST00000325642.7	hsa-miR-548ba	1
ENST00000487519.6	hsa-miR-548ba	1
ENST00000377524.8	hsa-miR-548ba	1
ENST00000262608.13	hsa-let-7b-3p	1
ENST00000678499.1	hsa-let-7b-3p	1
ENST00000380285.7	hsa-miR-548ba	1
ENST00000422982.8	hsa-miR-548ba	1
ENST00000681004.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000312858.9	hsa-miR-548ba	1
ENST00000617701.5	hsa-let-7b-5p	1
ENST00000528282.5	hsa-miR-548ba	1
ENST00000672921.1	hsa-miR-548ba	1
ENST00000679979.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000367454.6	hsa-let-7b-5p	1
ENST00000519721.5	hsa-miR-548ba	1
ENST00000683101.1	hsa-miR-548ba	1
ENST00000397128.6	hsa-miR-548ba	1
ENST00000683025.1	hsa-miR-548ba	1
ENST00000592524.6	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000674942.1	hsa-let-7b-3p	1
ENST00000619722.5	hsa-miR-548ba	1
ENST00000249363.4	hsa-let-7b-3p	1
ENST00000485960.7	hsa-let-7b-3p	1
ENST00000684505.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000632547.1	hsa-miR-548ba	1
ENST00000436587.7	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000438707.5	hsa-let-7b-3p	1
ENST00000683941.1	hsa-let-7b-3p	1
ENST00000675052.1	hsa-let-7b-5p	1
ENST00000488469.4	hsa-miR-548ba	1
ENST00000303843.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000451608.2	hsa-let-7b-5p	1
ENST00000429178.5	hsa-miR-548ba	1
ENST00000677073.1	hsa-let-7b-3p	1
ENST00000396057.6	hsa-miR-548ba	1
ENST00000501748.3	hsa-miR-548ba	1
ENST00000376022.5	hsa-let-7b-3p	1
ENST00000457823.6	hsa-let-7b-5p	1
ENST00000504386.1	hsa-let-7b-5p	1
ENST00000359843.8	hsa-miR-548ba	1
ENST00000544253.1	hsa-let-7b-5p	1
ENST00000683434.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000394876.7	hsa-let-7b-5p	1
ENST00000284881.9	hsa-miR-548ba	1
ENST00000198939.6	hsa-let-7b-3p	1
ENST00000622892.4	hsa-miR-548ba	1
ENST00000645588.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000374765.9	hsa-let-7b-3p	1
ENST00000655728.1	hsa-miR-548ba	1
ENST00000647685.1	hsa-miR-548ba	1
ENST00000441107.5	hsa-miR-548ba	1
ENST00000641039.1	hsa-miR-548ba	1
ENST00000337682.9	hsa-let-7b-3p	1
ENST00000547754.6	hsa-miR-548ba	1
ENST00000317571.8	hsa-miR-548ba	1
ENST00000391807.5	hsa-miR-548ba	1
ENST00000437205.5	hsa-let-7b-5p	1
ENST00000454579.5	hsa-let-7b-5p	1
ENST00000677505.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000415050.3	hsa-let-7b-5p	1
ENST00000333926.6	hsa-miR-548ba	1
ENST00000442488.7	hsa-let-7b-3p	1
ENST00000327134.7	hsa-miR-548ba	1
ENST00000646713.1	hsa-miR-548ba	1
ENST00000679526.1	hsa-let-7b-5p	1
ENST00000422377.5	hsa-let-7b-5p	1
ENST00000376355.7	hsa-miR-548ba	1
ENST00000299240.10	hsa-miR-548ba	1
ENST00000367001.5	hsa-miR-548ba	1
ENST00000342056.6	hsa-miR-548ba	1
ENST00000608990.6	hsa-miR-548ba	1
ENST00000683767.1	hsa-miR-548ba	1
ENST00000464265.5	hsa-miR-548ba	1
ENST00000469023.5	hsa-miR-548ba	1
ENST00000295417.4	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000503823.5	hsa-let-7b-3p	1
ENST00000638664.1	hsa-let-7b-3p	1
ENST00000613795.4	hsa-miR-548ba	1
ENST00000297438.6	hsa-let-7b-3p	1
ENST00000675870.1	hsa-miR-548ba	1
ENST00000249750.9	hsa-miR-548ba	1
ENST00000642928.2	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000645566.1	hsa-miR-548ba	1
ENST00000435494.2	hsa-miR-548ba	1
ENST00000543538.5	hsa-let-7b-3p	1
ENST00000680675.1	hsa-miR-548ba	1
ENST00000677891.1	hsa-let-7b-3p	1
ENST00000475361.1	hsa-miR-548ba	1
ENST00000537592.7	hsa-let-7b-3p	1
ENST00000338148.8	hsa-miR-548ba	1
ENST00000286827.7	hsa-miR-548ba	1
ENST00000635519.1	hsa-let-7b-3p	1
ENST00000682696.1	hsa-let-7b-3p	1
ENST00000643038.2	hsa-miR-548ba	1
ENST00000359314.5	hsa-miR-548ba	1
ENST00000680320.1	hsa-let-7b-5p	1
ENST00000427468.6	hsa-let-7b-3p	1
ENST00000312046.10	hsa-let-7b-3p	1
ENST00000285039.12	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000464750.5	hsa-miR-548ba	1
ENST00000617482.4	hsa-miR-548ba	1
ENST00000263979.7	hsa-miR-548ba	1
ENST00000396444.7	hsa-let-7b-3p	1
ENST00000557272.1	hsa-let-7b-3p	1
ENST00000545128.5	hsa-let-7b-3p	1
ENST00000644495.1	hsa-let-7b-5p	1
ENST00000400147.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000651974.1	hsa-miR-548ba	1
ENST00000679428.1	hsa-let-7b-3p	1
ENST00000381692.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000684362.1	hsa-miR-548ba	1
ENST00000585841.5	hsa-let-7b-5p	1
ENST00000261016.11	hsa-miR-548ba	1
ENST00000511751.1	hsa-let-7b-5p	1
ENST00000462146.6	hsa-let-7b-3p	1
ENST00000642043.1	hsa-let-7b-3p	1
ENST00000671730.1	hsa-miR-548ba	1
ENST00000378278.7	hsa-miR-548ba	1
ENST00000644140.1	hsa-let-7b-3p	1
ENST00000652107.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000316851.12	hsa-let-7b-3p	1
ENST00000538489.5	hsa-miR-548ba	1
ENST00000373241.9	hsa-let-7b-3p	1
ENST00000490715.5	hsa-miR-548ba	1
ENST00000327876.5	hsa-let-7b-3p	1
ENST00000283228.7	hsa-miR-548ba	1
ENST00000645620.1	hsa-let-7b-3p	1
ENST00000465647.6	hsa-let-7b-5p	1
ENST00000395297.6	hsa-let-7b-3p	1
ENST00000383229.8	hsa-miR-548ba	1
ENST00000372548.9	hsa-miR-548ba	1
ENST00000399438.8	hsa-miR-548ba	1
ENST00000357172.9	hsa-let-7b-3p	1
ENST00000528140.5	hsa-let-7b-5p	1
ENST00000288985.12	hsa-let-7b-3p	1
ENST00000618024.4	hsa-let-7b-3p	1
ENST00000346128.10	hsa-miR-548ba	1
ENST00000675341.1	hsa-miR-548ba	1
ENST00000435041.3	hsa-miR-548ba	1
ENST00000538974.5	hsa-let-7b-3p	1
ENST00000527447.2	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000265036.10	hsa-miR-548ba	1
ENST00000462479.1	hsa-let-7b-5p	1
ENST00000437009.5	hsa-miR-548ba	1
ENST00000677309.1	hsa-let-7b-3p	1
ENST00000682243.1	hsa-miR-548ba	1
ENST00000644397.2	hsa-let-7b-3p	1
ENST00000371477.4	hsa-let-7b-3p	1
ENST00000307441.13	hsa-miR-548ba	1
ENST00000533808.5	hsa-let-7b-5p	1
ENST00000356124.8	hsa-let-7b-5p	1
ENST00000258149.11	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000315939.11	hsa-miR-548ba	1
ENST00000206262.2	hsa-let-7b-5p	1
ENST00000302000.10	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000562895.2	hsa-let-7b-3p	1
ENST00000650904.1	hsa-miR-548ba	1
ENST00000395275.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000392690.3	hsa-let-7b-5p	1
ENST00000340913.11	hsa-let-7b-3p	1
ENST00000440756.4	hsa-miR-548ba	1
ENST00000286614.11	hsa-miR-548ba	1
ENST00000628474.2	hsa-miR-548ba	1
ENST00000636016.2	hsa-let-7b-3p	1
ENST00000677771.1	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000486715.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000310574.8	hsa-let-7b-5p	1
ENST00000644829.1	hsa-miR-548ba	1
ENST00000428041.4	hsa-miR-548ba	1
ENST00000409765.5	hsa-let-7b-3p	1
ENST00000679815.1	hsa-miR-548ba	1
ENST00000480046.5	hsa-let-7b-3p	1
ENST00000447459.7	hsa-let-7b-5p	1
ENST00000286760.5	hsa-let-7b-3p	1
ENST00000544951.6	hsa-miR-548ba	1
ENST00000396679.6	hsa-miR-548ba	1
ENST00000612703.3	hsa-miR-548ba	1
ENST00000610583.1	hsa-miR-548ba	1
ENST00000620222.4	hsa-miR-548ba	1
ENST00000373983.2	hsa-let-7b-5p	1
ENST00000328827.9	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000648947.1	hsa-let-7b-3p	1
ENST00000639570.1	hsa-miR-548ba	1
ENST00000366574.7	hsa-let-7b-3p	1
ENST00000494304.1	hsa-miR-548ba	1
ENST00000627426.2	hsa-miR-548ba	1
ENST00000506750.5	hsa-let-7b-3p	1
ENST00000302243.12	hsa-let-7b-5p	1
ENST00000678820.1	hsa-let-7b-3p	1
ENST00000561393.5	hsa-let-7b-5p	1
ENST00000299824.6	hsa-let-7b-5p	1
ENST00000377670.9	hsa-miR-548ba	1
ENST00000680964.1	hsa-miR-548ba	1
ENST00000378158.6	hsa-miR-548ba	1
ENST00000360844.6	hsa-miR-548ba	1
ENST00000437827.1	hsa-miR-548ba	1
ENST00000674172.1	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000360768.5	hsa-let-7b-3p	1
ENST00000343318.9	hsa-miR-548ba	1
ENST00000335351.8	hsa-miR-548ba	1
ENST00000265586.10	hsa-let-7b-5p	1
ENST00000370460.7	hsa-let-7b-3p	1
ENST00000368164.7	hsa-miR-548ba	1
ENST00000255531.8	hsa-let-7b-5p	1
ENST00000297273.9	hsa-let-7b-3p	1
ENST00000474957.5	hsa-miR-548ba	1
ENST00000372504.5	hsa-let-7b-3p	1
ENST00000680533.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000360413.7	hsa-let-7b-5p	1
ENST00000345392.2	hsa-let-7b-3p	1
ENST00000445416.5	hsa-miR-548ba	1
ENST00000434735.6	hsa-miR-548ba	1
ENST00000645348.1	hsa-miR-548ba	1
ENST00000683118.1	hsa-miR-548ba	1
ENST00000644807.1	hsa-let-7b-3p	1
ENST00000382545.5	hsa-miR-548ba	1
ENST00000302550.16	hsa-let-7b-3p	1
ENST00000333407.11	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000532692.1	hsa-let-7b-5p	1
ENST00000346872.8	hsa-miR-548ba	1
ENST00000265071.3	hsa-miR-548ba	1
ENST00000504986.6	hsa-let-7b-3p	1
ENST00000646904.1	hsa-miR-548ba	1
ENST00000452371.6	hsa-miR-548ba	1
ENST00000512528.3	hsa-miR-548ba	1
ENST00000351677.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000392161.4	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000356435.9	hsa-let-7b-5p	1
ENST00000372050.8	hsa-let-7b-3p	1
ENST00000612582.1	hsa-let-7b-3p	1
ENST00000620048.6	hsa-miR-548ba	1
ENST00000568604.5	hsa-miR-548ba	1
ENST00000394129.6	hsa-miR-548ba	1
ENST00000369137.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000637299.1	hsa-miR-548ba	1
ENST00000380787.5	hsa-miR-548ba	1
ENST00000343727.9	hsa-miR-548ba	1
ENST00000220592.10	hsa-miR-548ba	1
ENST00000330949.3	hsa-let-7b-3p	1
ENST00000681506.1	hsa-miR-548ba	1
ENST00000311601.6	hsa-miR-548ba	1
ENST00000673888.1	hsa-let-7b-3p	1
ENST00000678646.1	hsa-let-7b-5p	1
ENST00000563392.5	hsa-let-7b-5p	1
ENST00000291598.11	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000505959.5	hsa-let-7b-3p	1
ENST00000310961.9	hsa-let-7b-5p	1
ENST00000541184.1	hsa-let-7b-5p	1
ENST00000682963.1	hsa-let-7b-3p	1
ENST00000252622.15	hsa-let-7b-3p	1
ENST00000337851.9	hsa-miR-548ba	1
ENST00000373715.11	hsa-let-7b-3p	1
ENST00000452780.1	hsa-miR-548ba	1
ENST00000345317.7	hsa-miR-548ba	1
ENST00000648040.1	hsa-let-7b-3p	1
ENST00000351578.12	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000434713.6	hsa-let-7b-3p	1
ENST00000339796.9	hsa-miR-548ba	1
ENST00000456845.6	hsa-miR-548ba	1
ENST00000422622.3	hsa-let-7b-3p	1
ENST00000399273.5	hsa-miR-548ba	1
ENST00000509722.5	hsa-let-7b-5p	1
ENST00000621990.5	hsa-let-7b-5p	1
ENST00000682456.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000483858.5	hsa-miR-548ba	1
ENST00000278544.9	hsa-miR-548ba	1
ENST00000379109.7	hsa-let-7b-3p	1
ENST00000446851.6	hsa-let-7b-3p	1
ENST00000381883.5	hsa-let-7b-3p	1
ENST00000679596.1	hsa-miR-548ba	1
ENST00000361719.6	hsa-miR-548ba	1
ENST00000683936.1	hsa-let-7b-3p	1
ENST00000664366.1	hsa-miR-548ba	1
ENST00000344041.10	hsa-miR-548ba	1
ENST00000532163.5	hsa-miR-548ba,hsa-let-7b-5p	2
