"X.node1","node2","node1_string_id","node2_string_id","node1_uniprot_id","node2_uniprot_id","id1","id2","protein_name_1","protein_name_2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"AAEL005895","AAEL007876","7159.Q0IFC5","7159.Q170K8","Q0IFC5","Q170K8","aag:5567168","aag:5569737","APLP2","PTK7",0,0,0,0,0,0.438,0.082,0.205,0.554
"AAEL006038","AAEL008371","7159.Q177S2","7159.Q16Z01","Q177S2","Q16Z01","aag:5567375","aag:5570549","BRWD3","NF1",0,0,0,0,0.305,0.133,0.17,0.069,0.472
"AAEL006149","AAEL006152","7159.Q177H3","7159.Q177H4","Q177H3","Q177H4","aag:5567522","aag:110680225","Q177H3","Q177H4",0,0.402,0,0,0,0,0,0,0.402
"AAEL006189","AAEL006912","7159.Q177A9","7159.Q174F7","Q177A9","Q174F7","aag:5567614","aag:5568498","ACBD5","ACAT2",0,0,0,0,0.457,0,0.24,0.074,0.584
"AAEL006710","AAEL014033","7159.Q175B9","7159.Q16HG5","Q175B9","Q16HG5","aag:5568274","aag:5579195","TIAL1","CELF3",0,0,0.24,0,0,0.099,0,0.206,0.408
"AAEL006710","AAEL008507","7159.Q175B9","7159.Q16YK1","Q175B9","Q16YK1","aag:5568274","aag:5570733","TIAL1","SRPK2",0,0,0,0,0,0.451,0,0.184,0.532
"AAEL006803","AAEL006813","7159.Q174R9","7159.Q174R8","Q174R9","Q174R8","aag:5579942","aag:5579942","Q174R9","Q174R8",0,0.692,0,0,0,0,0,0,0.692
"AAEL007359","AAEL009630","7159.Q172J7","7159.Q16VA1","Q172J7","Q16VA1","aag:5577087","aag:5572215","GUCY2D","PDE9A",0,0,0,0,0,0.125,0.678,0.096,0.723
"AAEL007441","AAEL010716","7159.Q1HRN7","7159.Q16S36","Q1HRN7","Q16S36","aag:5569181","aag:5573790","SSR3","Sec61alpha",0,0,0,0,0.554,0.382,0.088,0.16,0.76
"AAEL007876","AAEL013997","7159.Q170K8","7159.Q16HK0","Q170K8","Q16HK0","aag:5569737","aag:5579061","PTK7","GNB4",0,0,0,0,0,0.533,0.084,0.047,0.556
"AAEL007876","GPROR76","7159.Q170K8","7159.Q16J72","Q170K8","Q16J72","aag:5569737","aag:5577942","PTK7","GPROR76",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL007876","AAEL012905","7159.Q170K8","7159.Q16KQ8","Q170K8","Q16KQ8","aag:5569737","aag:5576948","PTK7","Q16KQ8",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL007876","AAEL012910","7159.Q170K8","7159.Q16KQ9","Q170K8","Q16KQ9","aag:5569737","aag:5576948","PTK7","dp",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL007876","AAEL012908","7159.Q170K8","7159.Q16KR0","Q170K8","Q16KR0","aag:5569737","aag:5576948","PTK7","fbn-1",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL007876","AAEL012909","7159.Q170K8","7159.Q16KR1","Q170K8","Q16KR1","aag:5569737","aag:5576948","PTK7","Q16KR1",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL007876","AAEL012723","7159.Q170K8","7159.Q16L96","Q170K8","Q16L96","aag:5569737","aag:5576696","PTK7","MAP2K1",0,0,0,0,0,0.272,0.154,0.128,0.416
"AAEL007876","AAEL010643","7159.Q170K8","7159.Q16SB0","Q170K8","Q16SB0","aag:5569737","aag:5575304","PTK7","PAK3",0,0,0,0,0,0.088,0.369,0.069,0.417
"AAEL007876","AAEL008554","7159.Q170K8","7159.Q16YG3","Q170K8","Q16YG3","aag:5569737","aga:133391160","PTK7","PTPN11",0,0,0,0,0.042,0.281,0.243,0.095,0.464
"AAEL007876","AAEL008552","7159.Q170K8","7159.Q16YG5","Q170K8","Q16YG5","aag:5569737","aga:133391160","PTK7","PTPN11",0,0,0,0,0.042,0.281,0.243,0.095,0.464
"AAEL007876","AAEL008528","7159.Q170K8","7159.Q16YG8","Q170K8","Q16YG8","aag:5569737","aag:5570773","PTK7","PTPN11",0,0,0,0,0.042,0.281,0.243,0.095,0.464
"AAEL007876","AAEL008414","7159.Q170K8","7159.Q16YV1","Q170K8","Q16YV1","aag:5569737","aag:5570610","PTK7","Q16YV1",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL008362","AAEL008372","7159.Q16YZ8","7159.Q16YZ9","Q16YZ8","Q16YZ9","aag:5570551","aag:5570551","SULF1","SULF1",0,0.881,0.531,0,0,0,0,0,0.941
"AAEL008371","AAEL009377","7159.Q16Z01","7159.Q16W03","Q16Z01","Q16W03","aag:5570549","aag:5571900","NF1","RAP1A",0,0,0,0,0,0.444,0.237,0.165,0.614
"AAEL008507","AAEL012723","7159.Q16YK1","7159.Q16L96","Q16YK1","Q16L96","aag:5570733","aag:5576696","SRPK2","MAP2K1",0,0,0,0.568,0.107,0.123,0,0.321,0.421
"AAEL008517","J9E9F1_AEDAE","7159.Q16YK5","7159.J9E9F1","Q16YK5","J9E9F1","aag:5570735","aag:23687576","TUFM","POLR3B",0.099,0,0,0,0.533,0,0,0.22,0.643
"AAEL008517","AAEL010716","7159.Q16YK5","7159.Q16S36","Q16YK5","Q16S36","aag:5570735","aag:5573790","TUFM","Sec61alpha",0.111,0,0,0,0.497,0,0,0.263,0.641
"AAEL008517","AAEL010821","7159.Q16YK5","7159.Q1HR99","Q16YK5","Q1HR99","aag:5570735","aag:5573974","TUFM","RPLP0",0.111,0,0,0,0.721,0.553,0,0.251,0.905
"AAEL008528","AAEL008554","7159.Q16YG8","7159.Q16YG3","Q16YG8","Q16YG3","aag:5570773","aga:133391160","PTPN11","PTPN11",0,0.9,0.281,0,0,0,0,0,0.925
"AAEL008528","AAEL008552","7159.Q16YG8","7159.Q16YG5","Q16YG8","Q16YG5","aag:5570773","aga:133391160","PTPN11","PTPN11",0,0.9,0.284,0,0,0,0,0,0.925
"AAEL008816","AAEL009304","7159.Q16XQ1","7159.Q16WA7","Q16XQ1","Q16WA7","aag:5571073","aag:5576630","SLC18A1","STX1A",0,0,0,0,0,0,0.376,0.131,0.434
"AAEL009085","AAEL014901","7159.Q16WV5","7159.Q16F46","Q16WV5","Q16F46","aag:5571449","aag:5565618","ARHGAP1","ARHGAP18",0,0,0,0.563,0,0,0.343,0.249,0.485
"AAEL009085","AAEL011105","7159.Q16WV5","7159.Q16R23","Q16WV5","Q16R23","aag:5571449","aag:110681105","ARHGAP1","add-1",0,0,0,0,0.046,0,0.569,0,0.571
"AAEL009085","AAEL010643","7159.Q16WV5","7159.Q16SB0","Q16WV5","Q16SB0","aag:5571449","aag:5575304","ARHGAP1","PAK3",0,0,0,0,0,0.073,0.381,0.079,0.425
"AAEL009085","AAEL010061","7159.Q16WV5","7159.Q16U10","Q16WV5","Q16U10","aag:5571449","aag:5572837","ARHGAP1","FHDC1",0,0,0,0,0,0,0.395,0.062,0.408
"AAEL009085","AAEL009451","7159.Q16WV5","7159.Q16VS2","Q16WV5","Q16VS2","aag:5571449","aag:5571971","ARHGAP1","ACTB",0,0,0,0,0,0.219,0.292,0,0.423
"AAEL009377","AAEL012723","7159.Q16W03","7159.Q16L96","Q16W03","Q16L96","aag:5571900","aag:5576696","RAP1A","MAP2K1",0,0,0,0,0,0.306,0.65,0.18,0.783
"AAEL009400","AAEL012420","7159.Q16VZ3","7159.Q16M53","Q16VZ3","Q16M53","aag:5571904","aag:5576263","CNOT8","PUM2",0,0,0,0,0,0.648,0,0.47,0.805
"AAEL009400","AAEL012416","7159.Q16VZ3","7159.Q16M54","Q16VZ3","Q16M54","aag:5571904","aag:5576263","CNOT8","Q16M54",0,0,0,0,0,0.648,0,0.47,0.805
"AAEL009400","AAEL009915","7159.Q16VZ3","7159.Q16UG5","Q16VZ3","Q16UG5","aag:5571904","aag:5572577","CNOT8","CROCC",0,0,0,0,0,0.439,0,0.093,0.469
"AAEL009451","J9HYQ9_AEDAE","7159.Q16VS2","7159.J9HYQ9","Q16VS2","J9HYQ9","aag:5571971","aag:23687721","ACTB","EEF1A1",0,0,0,0,0.151,0.164,0,0.637,0.719
"AAEL009451","AAEL012057","7159.Q16VS2","7159.Q16N85","Q16VS2","Q16N85","aag:5571971","aag:5575748","ACTB","EPC1",0,0,0,0,0,0.378,0.129,0.106,0.473
"AAEL009451","AAEL011105","7159.Q16VS2","7159.Q16R23","Q16VS2","Q16R23","aag:5571971","aag:110681105","ACTB","add-1",0,0,0,0,0,0,0.216,0.561,0.641
"AAEL009451","AAEL010061","7159.Q16VS2","7159.Q16U10","Q16VS2","Q16U10","aag:5571971","aag:5572837","ACTB","FHDC1",0,0,0,0,0,0.271,0.141,0.131,0.408
"AAEL009630","AAEL011006","7159.Q16VA1","7159.Q16RC6","Q16VA1","Q16RC6","aag:5572215","aag:5574237","PDE9A","GUK1",0,0,0,0,0,0,0.9,0.046,0.9
"AAEL009869","AAEL013602","7159.Q16UK9","7159.Q16IN4","Q16UK9","Q16IN4","aag:5572546","aag:5578284","Q16UK9","EGFLAM",0,0,0,0,0,0.344,0.149,0.086,0.445
"AAEL009915","J9E9F1_AEDAE","7159.Q16UG5","7159.J9E9F1","Q16UG5","J9E9F1","aag:5572577","aag:23687576","CROCC","POLR3B",0,0,0,0,0.045,0.343,0.243,0.155,0.544
"AAEL009915","AAEL012259","7159.Q16UG5","7159.Q16MM1","Q16UG5","Q16MM1","aag:5572577","aag:5578151","CROCC","SUPT5H",0,0,0,0,0.109,0.506,0.358,0.197,0.742
"AAEL009938","AAEL011648","7159.Q16UD8","7159.Q16PG7","Q16UD8","Q16PG7","aag:5572619","aag:5575093","GLYATL3","CCND3",0,0,0,0,0.106,0.12,0.258,0.135,0.427
"AAEL009988","AAEL013602","7159.Q16U87","7159.Q16IN4","Q16U87","Q16IN4","aag:5572713","aag:5578284","IL16","EGFLAM",0,0,0.467,0,0,0,0,0,0.467
"AAEL010198","AAEL013602","7159.Q16TM2","7159.Q16IN4","Q16TM2","Q16IN4","aag:5572713","aag:5578284","IL16","EGFLAM",0,0,0.452,0,0,0,0,0,0.452
"AAEL010373","J9E9F1_AEDAE","7159.Q16T51","7159.J9E9F1","Q16T51","J9E9F1","aag:5573291","aag:23687576","CTDNEP1","POLR3B",0,0,0,0,0.116,0.164,0.292,0.104,0.468
"AAEL010373","AAEL012259","7159.Q16T51","7159.Q16MM1","Q16T51","Q16MM1","aag:5573291","aag:5578151","CTDNEP1","SUPT5H",0,0,0,0,0,0.086,0.395,0.251,0.549
"AAEL010555","AAEL012237","7159.Q16SL7","7159.Q1HQT7","Q16SL7","Q1HQT7","aag:5573523","aag:5576008","SREBF2","MAX",0,0,0,0,0,0.23,0.146,0.22,0.442
"AAEL010584","Q1HR69_AEDAE","7159.Q16SI7","7159.Q1HR69","Q16SI7","Q1HR69","aag:5573534","aag:23687769","LMAN2","HSPA5",0,0,0,0,0.074,0.042,0,0.384,0.405
"AAEL010643","AAEL013997","7159.Q16SB0","7159.Q16HK0","Q16SB0","Q16HK0","aag:5575304","aag:5579061","PAK3","GNB4",0,0,0,0,0,0.173,0.281,0.135,0.44
"AAEL010716","J9E9F1_AEDAE","7159.Q16S36","7159.J9E9F1","Q16S36","J9E9F1","aag:5573790","aag:23687576","Sec61alpha","POLR3B",0.111,0,0,0,0.699,0,0,0.263,0.785
"AAEL010716","J9HFE1_AEDAE","7159.Q16S36","7159.J9HFE1","Q16S36","J9HFE1","aag:5573790","aag:5570735","Sec61alpha","TUFM",0.111,0,0,0,0.497,0,0,0.263,0.641
"AAEL010716","Q1HR69_AEDAE","7159.Q16S36","7159.Q1HR69","Q16S36","Q1HR69","aag:5573790","aag:23687769","Sec61alpha","HSPA5",0.068,0,0,0,0.342,0.267,0,0.517,0.753
"AAEL010716","AAEL010821","7159.Q16S36","7159.Q1HR99","Q16S36","Q1HR99","aag:5573790","aag:5573974","Sec61alpha","RPLP0",0.122,0,0,0,0.731,0.646,0,0.097,0.914
"AAEL010821","J9E9F1_AEDAE","7159.Q1HR99","7159.J9E9F1","Q1HR99","J9E9F1","aag:5573974","aag:23687576","RPLP0","POLR3B",0.111,0,0,0,0.721,0.439,0,0.263,0.883
"AAEL010821","J9HFE1_AEDAE","7159.Q1HR99","7159.J9HFE1","Q1HR99","J9HFE1","aag:5573974","aag:5570735","RPLP0","TUFM",0.111,0,0,0,0.721,0.553,0,0.251,0.905
"AAEL010821","J9HYQ9_AEDAE","7159.Q1HR99","7159.J9HYQ9","Q1HR99","J9HYQ9","aag:5573974","aag:23687721","RPLP0","EEF1A1",0,0,0,0,0.721,0.541,0.088,0.348,0.913
"AAEL010821","AAEL013997","7159.Q1HR99","7159.Q16HK0","Q1HR99","Q16HK0","aag:5573974","aag:5579061","RPLP0","GNB4",0,0,0,0,0.07,0.308,0,0.217,0.452
"AAEL010821","Q1HR69_AEDAE","7159.Q1HR99","7159.Q1HR69","Q1HR99","Q1HR69","aag:5573974","aag:23687769","RPLP0","HSPA5",0,0,0,0,0.14,0.315,0,0.235,0.509
"AAEL011485","AAEL011495","7159.Q16PX0","7159.Q16PW9","Q16PX0","Q16PW9","aag:5574895","aag:5574895","ZMIZ1","ZMIZ1",0,0.881,0,0,0,0,0,0,0.881
"AAEL011773","Q1HR69_AEDAE","7159.Q16P38","7159.Q1HR69","Q16P38","Q1HR69","aag:5567839","aag:23687769","CALR","HSPA5",0,0,0,0,0.729,0.123,0.297,0.547,0.914
"AAEL011870","AAEL011890","7159.Q16NS4","7159.Q16NR7","Q16NS4","Q16NR7","aag:5575495","aag:5575504","LSM14A","Q16NR7",0,0,0,0,0.051,0.276,0,0.215,0.413
"AAEL012256","AAEL012257","7159.Q16ML9","7159.Q16MM0","Q16ML9","Q16MM0","aag:5576026","aag:5576026","GPR107","GPR107",0,0.899,0,0,0,0,0,0,0.899
"AAEL012259","J9E9F1_AEDAE","7159.Q16MM1","7159.J9E9F1","Q16MM1","J9E9F1","aag:5578151","aag:23687576","SUPT5H","POLR3B",0,0,0,0,0.099,0.789,0.543,0.379,0.938
"AAEL012416","AAEL012420","7159.Q16M54","7159.Q16M53","Q16M54","Q16M53","aag:5576263","aag:5576263","Q16M54","PUM2",0,0.876,0,0,0,0,0,0,0.876
"AAEL012420","AAEL013510","7159.Q16M53","7159.Q16IY0","Q16M53","Q16IY0","aag:5576263","aag:5578126","PUM2","SAMD4B",0,0,0,0,0,0.089,0,0.698,0.713
"AAEL013066","J9EBD1_AEDAE","7159.Q16KA6","7159.J9EBD1","Q16KA6","J9EBD1","aag:23687802","aag:23687802","CHEK1","CHEK1",0,0.9,0,0,0,0,0,0,0.9
"AAEL013997","AAEL014485","7159.Q16HK0","7159.Q16G89","Q16HK0","Q16G89","aag:5579061","aag:5577573","GNB4","Q16G89",0,0,0,0,0,0.374,0,0.183,0.466
"AAEL013997","GPRDIH1","7159.Q16HK0","7159.Q16Z71","Q16HK0","Q16Z71","aag:5579061","aag:5570395","GNB4","GPRDIH1",0,0,0,0,0,0.472,0.135,0,0.523
"ARK","DNR1","7159.Q17MT6","7159.Q17NT7","Q17MT6","Q17NT7","aag:5567237","aag:5564297","ARK","DNR1",0,0,0,0,0.139,0.133,0.219,0.093,0.4
"J9E9F1_AEDAE","J9HFE1_AEDAE","7159.J9E9F1","7159.J9HFE1","J9E9F1","J9HFE1","aag:23687576","aag:5570735","POLR3B","TUFM",0.099,0,0,0,0.533,0,0,0.22,0.643
"J9HYQ9_AEDAE","Q1HR69_AEDAE","7159.J9HYQ9","7159.Q1HR69","J9HYQ9","Q1HR69","aag:23687721","aag:23687769","EEF1A1","HSPA5",0,0.086,0,0,0.054,0.132,0,0.464,0.544
