"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182G4U8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002974","Ubiquitinyl hydrolase 1.","ubiquitinyl hydrolase 1",NA,"endocytosis; protein deubiquitination","cysteine-type deubiquitinase activity; zinc ion binding","Domain in ubiquitin-specific proteases.","USP20","DUSP,UCH,zf-UBP","Zinc finger, UBP-type","Zn-finger in ubiquitin-hydrolases and other protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4X0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003006","Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering.","Mitochondrial fission 1 protein","Involved in the fragmentation of the mitochondrial network and its perinuclear clustering","autophagy of mitochondrion; mitochondrial fission; mitochondrial fragmentation involved in apoptotic process; peroxisome fission",NA,"Involved in the fragmentation of the mitochondrial network and its perinuclear clustering","FIS1","Fis1_TPR_C,Fis1_TPR_N","Fis1, N-terminal tetratricopeptide repeat","Fis1 N-terminal tetratricopeptide repeat","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G573","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003196","Uncharacterized protein.","Luciferin 4-monooxygenase",NA,"bioluminescence","CoA-ligase activity; monooxygenase activity","AMP-binding enzyme C-terminal domain",NA,"AMP-binding,AMP-binding_C","AMP-dependent synthetase/ligase domain","AMP-binding enzyme","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G593","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003235","t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G598","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003245","Uncharacterized protein.",NA,NA,NA,NA,"transcription factor with a role in the retinal determination (RD) network. Contributes to differentiation of antenna-specific characteristics (By similarity)","dan","CENP-B_N",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5B9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003299","WD_REPEATS_REGION domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5D5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003330","Uncharacterized protein.",NA,NA,NA,NA,"zinc finger",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5F4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003366","ANK_REP_REGION domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"Ankyrin repeat","Ankyrin repeats (3 copies)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5M6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003480","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5U1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003603","ANK_REP_REGION domain-containing protein.",NA,NA,"positive regulation of transcription by RNA polymerase II","transcription cis-regulatory region binding","Ga binding protein beta chain","GABPB1","Ank,Ank_2,Ank_3,Ank_4,Ank_5","Ankyrin repeat","Ankyrin repeats (3 copies)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5Y8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003693","SER_THR_PHOSPHATASE domain-containing protein.","protein-serine/threonine phosphatase",NA,NA,"metal ion binding; protein serine/threonine phosphatase activity","PPP5 TPR repeat region","PPP5C","Metallophos,PPP5,TPR_1,TPR_8","Calcineurin-like, phosphoesterase domain","Calcineurin-like phosphoesterase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5Z9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003706","SH3 domain-containing protein.",NA,NA,NA,NA,"Fes/CIP4, and EFC/F-BAR homology domain","NOSTRIN","FCH,SH3_1,SH3_9","SH3 domain","Variant SH3 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6A9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003891","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6D5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003951","Reverse transcriptase Ty1/copia-type domain-containing protein.",NA,NA,"DNA biosynthetic process",NA,"GAG-pre-integrase domain",NA,"DUF4219,RVT_2,Retrotran_gag_2,gag_pre-integrs,rve,zf-CCHC","Reverse transcriptase, RNA-dependent DNA polymerase","Reverse transcriptase (RNA-dependent DNA polymerase)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6F8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003981","Non-specific serine/threonine protein kinase.","non-specific serine/threonine protein kinase",NA,NA,"ATP binding; protein serine/threonine kinase activity","Ribosomal protein S6 kinase","RPS6KA5","Pkinase,Pkinase_C","Protein kinase, C-terminal","Protein kinase C terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6M7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004117","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6N6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004132","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6N9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004135","Reverse transcriptase domain-containing protein.",NA,NA,"DNA biosynthetic process",NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_1","Reverse transcriptase domain","Reverse transcriptase (RNA-dependent DNA polymerase)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6P1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004137","Peptidase_M3 domain-containing protein.",NA,NA,"peptide metabolic process; protein processing involved in protein targeting to mitochondrion","metal ion binding; metalloendopeptidase activity","Mitochondrial intermediate peptidase","MIPEP","Peptidase_M3","Peptidase M3A/M3B catalytic domain","Peptidase family M3","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6V7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004244","Transket_pyr domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6W1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004255","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G737","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004387","Uncharacterized protein.",NA,NA,"protein import into nucleus",NA,"Importin-beta N-terminal domain","IPO4","HEAT,HEAT_EZ,IBN_N","IPO4/5-like, TPR repeats domain","IPO5-like, TPR repeats","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G786","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004462","RING-CH-type domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G788","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004464","Thioredoxin domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7D1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004560","RRM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7F0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004593","Zinc-hook domain-containing protein.","DNA repair protein RAD50",NA,"chromosome organization involved in meiotic cell cycle; double-strand break repair; telomere maintenance via recombination; telomere maintenance via telomerase","ATP binding; ATP hydrolysis activity; double-stranded telomeric DNA binding; G-quadruplex DNA binding; metal ion binding; single-stranded telomeric DNA binding","DNA repair protein RAD50","RAD50","AAA_23,Rad50_zn_hook,SbcCD_C",NA,"SbcC/RAD50-like, Walker B motif","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7F5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004603","SEC7 domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7Q9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004756","Uncharacterized protein.",NA,NA,NA,"zinc ion binding","Zinc finger protein",NA,"zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met","Zinc finger C2H2-type","Zinc finger, C2H2 type","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7R3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004768","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7R5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004770","BRK domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7S1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG004781","Uncharacterized protein.",NA,NA,NA,NA,"Protein of unknown function (DUF3752)","GPALPP1","DUF3752","Domain of unknown function DUF3752","Protein of unknown function (DUF3752)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G8W7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG005400","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G9H4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG005748","Uncharacterized protein.",NA,NA,NA,NA,"Metallo-beta-lactamase superfamily","ETHE1","Lactamase_B",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G9V6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001317","Uncharacterized protein.",NA,NA,"tRNA 5'-leader removal","ribonuclease P activity; ribonuclease P RNA binding","Rpp14/Pop5 family","RPP14","RNase_P_Rpp14","RNase P subunit Pop5/Rpp14/Rnp2-like","Rpp14/Pop5 family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GA07","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006076","Uncharacterized protein.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","Zinc-finger associated domain (zf-AD)",NA,"THAP,zf-AD,zf-C2H2","Zinc finger C2H2-type","C2H2-type zinc finger","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GA53","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006156","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GAK2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006404","SAM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GAN6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006466","RRM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GAN8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006470","PNPLA domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GAX4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006622","Uncharacterized protein.","Coiled-coil domain-containing protein 22 homolog",NA,"positive regulation of ubiquitin-dependent protein catabolic process","cullin family protein binding","Coiled-coil domain-containing protein 22 homolog","CCDC22","DUF812","CCDC22, N-terminal domain","CCDC22 protein N-terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GAZ9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006673","Retrotrans_gag domain-containing protein.",NA,NA,NA,NA,"Retrotransposon gag protein",NA,"Retrotrans_gag","Retrotransposon gag domain","Retrotransposon gag protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GB21","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006713","S5A_REDUCTASE domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBE2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006899","Uncharacterized protein; Belongs to the SNF2/RAD54 helicase family. SMARCAL1 subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBH6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG006965","PlsC domain-containing protein; Belongs to the GPAT/DAPAT family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBK3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007000","EAF domain-containing protein.","Ell-associated factor Eaf","Promotes transcriptional elongation by Su(Tpl)/ELL. Essential for development","transcription elongation by RNA polymerase II","transcription elongation factor activity","RNA polymerase II transcription elongation factor","EAF1","EAF","Transcription elongation factor Eaf, N-terminal","RNA polymerase II transcription elongation factor","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBS7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007119","Uncharacterized protein.",NA,NA,NA,NA,"Cleft lip and palate transmembrane protein 1 (CLPTM1)","CLPTM1","CLPTM1","Cleft lip and palate transmembrane 1","Cleft lip and palate transmembrane protein 1 (CLPTM1)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBV7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007174","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBY5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007211","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GBY9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007218","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GC25","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007284","Glyco_tran_10_N domain-containing protein.","Fucosyltransferase",NA,"fucosylation; protein glycosylation","fucosyltransferase activity","Alpha-1,3-fucosyltransferase",NA,"Glyco_tran_10_N,Glyco_transf_10","Fucosyltransferase, N-terminal","Fucosyltransferase, N-terminal","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GC42","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007311","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GC69","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007352","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GCC0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007423","Aldo_ket_red domain-containing protein.",NA,NA,NA,"oxidoreductase activity","Aldo/keto reductase family","AKR1A1","Aldo_ket_red","NADP-dependent oxidoreductase domain","Aldo/keto reductase family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GCC4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007427","Aldo_ket_red domain-containing protein.",NA,NA,NA,"oxidoreductase activity","Aldo/keto reductase family","AKR1A1","Aldo_ket_red","NADP-dependent oxidoreductase domain","Aldo/keto reductase family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GCG5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007490","Protein kinase domain-containing protein.","dual-specificity kinase",NA,NA,"ATP binding; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity","Dual specificity tyrosine-phosphorylation-regulated kinase",NA,"Pkinase","Protein kinase domain","Protein kinase domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GD47","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007836","Uncharacterized protein.",NA,NA,NA,"zinc ion binding","Zinc finger, C2H2 type",NA,"zf-AD,zf-C2H2","Zinc finger, AD-type","Zinc-finger associated domain (zf-AD)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GD72","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007886","Protein cactus (TOLL pathway signalling).",NA,NA,"cellular response to tumor necrosis factor","NF-kappaB binding","Protein cactus (TOLL pathway signalling)","NFKBIA","Ank,Ank_2,Ank_3,Ank_4,Ank_5","Ankyrin repeat","Ankyrin repeat","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDB5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007967","SUN domain-containing protein.",NA,NA,"protein folding in endoplasmic reticulum",NA,"Sad1 / UNC-like C-terminal","SUCO","Sad1_UNC","SUN domain","Sad1 / UNC-like C-terminal","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDI3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008046","Coronin; Belongs to the WD repeat coronin family.","Coronin",NA,"actin filament organization","actin filament binding","Belongs to the WD repeat coronin family","CORO1C","DUF1899,Trimer_CC,WD40,WD40_4","Domain of unknown function DUF1899","Domain of unknown function (DUF1899)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDL1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008080","Reverse transcriptase Ty1/copia-type domain-containing protein.","Reverse transcriptase Ty1/copia-type domain-containing protein",NA,"DNA biosynthetic process",NA,"Encoded by",NA,"DUF4219,MBD,RVT_2,Retrotran_gag_2,gag_pre-integrs,rve,zf-CCHC","Reverse transcriptase, RNA-dependent DNA polymerase","Reverse transcriptase (RNA-dependent DNA polymerase)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDP6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008130","Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan.","Glycogen [starch] synthase","Transfers the glycosyl residue from UDP-Glc to the non-reducing end of alpha-1,4-glucan","glycogen biosynthetic process","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan","GYS2","Glycogen_syn","Glycogen synthase","Glycogen synthase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDW5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008228","Adenylosuccinate synthetase; Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP.","Adenylosuccinate synthetase","Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP","'de novo' AMP biosynthetic process; IMP metabolic process","adenylosuccinate synthase activity; GTP binding; magnesium ion binding","Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first","ADSS","Adenylsucc_synt","Adenylosuccinate synthetase","Adenylosuccinate synthetase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDY7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008258","BACK domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE25","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008318","USP domain-containing protein; Belongs to the peptidase C19 family.","Ubiquitin carboxyl-terminal hydrolase 47",NA,"protein deubiquitination; proteolysis","cysteine-type deubiquitinase activity","Belongs to the peptidase C19 family","USP47","UCH,Ubiquitin_2","Peptidase C19, ubiquitin carboxyl-terminal hydrolase","Ubiquitin carboxyl-terminal hydrolase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE26","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008319","Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
